id,native,english,domain,subdomain,tense,dialect,dateCreated,createdBy
7vsmxkrdy,Okuburwa obwesigwa omubaguzi kuretaho okugwa kwa eby'obusubuzi,lack of customer loyalty leads to down fall of businesses,ECO,,,Rutooro,2026-02-24 07:43:28.839+00,lpys3ifza
83qtfdns9,Embuzi zanguhire kwahura hakaanyuma.,Goats are easy to keep in the backyard.,AGR,AGR-LVS,Present,Rutooro,2026-02-20 12:47:17.021+00,mu7n2sm1v
89i9rkwk3,Okwalirra kuyamba okukendeza kusenda omugezi nokwikaza amaizi omuitaka.,Mulching helps to reduce soil erosion and retain soil moisture.,AGR,AGR-LND,Present,Rutooro,2026-02-20 09:45:47.231+00,mu7n2sm1v
8adi29ijj,"Ebujanjabi obw'amani obubaha omurwaire ari omwirwariro arweire oburwaire bw'amani nka sukari, puleesa, kansa.",Palliative care.,HLT,,"Present ",Rutooro,2026-02-26 10:46:50.506+00,nus6yvak7
8emqvck49,Kwongeramu ebirisa   omuitaka kiyamba kwongeza obujimu .,"Adding organic matter to the soil improves its structure and fertility. ",AGR,AGR-LND,Present,Rutooro,2026-02-20 08:52:18.582+00,mu7n2sm1v
8fkjgsejf,Abatunzi b'ebintu baina kwikara n'ibara erirungi,Sellers must keep a good brand reputation,ECO,,,Rutooro,2026-02-24 10:03:46.965+00,lpys3ifza
8fpswtor2,Harm akurangirra ebyonbeko bye eby'okupangisa,Harm is advertising his buildings for rent,ECO,,,Rutooro,2026-02-20 15:22:47.074+00,lpys3ifza
8kiupc9q9,Bakaba barwani bobusumi bw'Obote.,"They were warriors during Obote time. ",NAR,NAR-HIS,Past.,Rutooro,2026-02-24 04:42:05.647+00,7ldvwi8jh
8kj2807dc,Itaka lisagika ebimera okura.,Soil supports plant growth.,AGR,AGR-LND,present,Rutooro,2026-02-21 07:42:30.533+00,mu7n2sm1v
8osdw48r7,"Omuntu talya  ayemeriire, aikarra aha ebyokulya ekitinisa.","No one is allowed to eat while standing, sits down to honor food.",CUL,CUL-TAB,Present continuous,Rutooro,2026-02-22 08:47:15.73+00,ruom6sfi4
8tb0596cf,Kunnogorora ebinyoobwa murimo murungi gw'okuhumuriraho.,Plucking ground nuts can be a good passive leisure  activity.,AGR,,,Rutooro,2026-02-24 09:46:12.657+00,6rp3pc92m
9686nbiec,Endwaire omuswija gwo mubyenda.,Am suffering from typhoid fever.,HLT,,"Present ",Rutooro,2026-02-26 09:21:27.866+00,nus6yvak7
97ub37qjy,Tikwehura kurungi omubiri.,Am not feeling well in my body.,HLT,,"Present ",Rutooro,2026-02-26 09:19:18.864+00,nus6yvak7
9emk3fc69,"Omutu asomeraire obusaho, oine kwahura ensita y'abarwaire.","As a professional medical worker, you need to keep Confidentiality of the patient.",HLT,," Present ",Rutooro,2026-02-26 20:45:22.698+00,nus6yvak7
9gv3sekmc,Omutima gwawe gukutera muno.,My heart is beating at a very high speed.,HLT,,"Present ",Rutooro,2026-02-26 10:27:09.563+00,nus6yvak7
9hzwpt469,Omusaho yaasoma ebyafaayo by'oburwaire bw'omurwaire atakatandikire kumujanjaba.,The doctor reviewed the medical history before starting the consultation.,HLT,," Present ",Rutooro,2026-03-04 09:51:29.451+00,nus6yvak7
9moybzlyk,Irungu l'itanira n'ebimera habwa ebirisa.,Weeds compete with crops for nutrients .,AGR,AGR-CRP,present,Rutooro,2026-02-21 07:22:35.932+00,mu7n2sm1v
9nysg1j15,Enu byagyeta nfuka,this is called a hoe.,AGR,AGR-TOO,present,Rutooro,2026-02-20 06:28:54.751+00,ruom6sfi4
9ssypb49q,Ebisobere amubiri,"Disability ",HLT,,"Present ",Rutooro,2026-02-23 09:16:59.644+00,nus6yvak7
9x4nrqul3,Okutangira eby'obususbuzi kweyongirre omubantu bahansi,Trade sanctioning has increased at the local level,ECO,,,Rutooro,2026-02-24 10:12:17.407+00,lpys3ifza
9z4sqq1zu,"Maria akakebenza akahuuka k'omunywerero (Sirimu) omwirwariro, omusaho yamugamba nkusagire oine akahuuka k'omunywerero (sirimu).","Mary tested for HIV/AIDs in the hospital, and the doctor told her, I found out when you have HIV/AIDs positive.",HLT,,"Present ",Rutooro,2026-02-26 07:05:10.062+00,nus6yvak7
a2lb2wqnf,Okuhiiga n'okwita ebisoro kukehya ebisoro omukicweka.,Hunting and killing of  animals reduces fauna in the region.,AGR,,,Rutooro,2026-02-24 10:23:32.379+00,6rp3pc92m
abvguggi8,Ekikozesebwa ky'okuwulira omutima nikikozesebwa muno kuwulira amaraka g'omutima n'ebyaha.,A stethoscope is commonly used to listen to heart and lung sounds.,HLT,," Present ",Rutooro,2026-03-04 12:17:43.253+00,nus6yvak7
ae0slh4hm,Bituhereza ebyokulya nka amata.,They are producers of food like milk.,AGR,,,Rutooro,2026-02-24 12:56:26.473+00,6rp3pc92m
aggptt8aj,Erwariro ry'ebyetaago by'amaani rikoora essaaha zona musana n'ekiro.,The hospital emergency room operates 24 hours a iday.,HLT,,"Present ",Rutooro,2026-03-04 11:54:52.542+00,nus6yvak7
aj9but53k,Maria ahiremu enda y'emyezi musaju .,Mary has aborted the pregnant of seven month.,HLT,,"Present ",Rutooro,2026-02-26 09:15:45.861+00,nus6yvak7
ay6iv1x8p,Kato nakonera emiyembe yaye.,Kato is pruning his mango trees.,AGR,AGR-CRP,Present,Rutooro,2026-02-20 06:47:22.486+00,mu7n2sm1v
az3kp5mc4,"Oburorwaho obw'eziku omubasaija nibyo binu; kurumwa muno n'onyara, amaizi agakwisana amata gafiire nigaruka emubikweka by'esoni.","Signs and symptoms of Gonorrhea in men are; painful urination, discharge from penis, testicular pain.",HLT,," Present ",Rutooro,2026-02-26 21:58:28.08+00,nus6yvak7
az8qjfz4e,Abakazi tibalya enenene.,Women are prohibited to eat grass hoppers.,CUL,CUL-TAB,Present continuous,Rutooro,2026-02-22 08:41:40.894+00,ruom6sfi4
b0vfibm1j,"Amaizi agasigaire omusefuriya omazi kucumba ebitakuru, ogateka mubafu, n'omara n'ogaita na amaizi agecumi, n'omara n'oganaba, gataba orusu orumbi (ekiikara).","Water left in the saucespan after cooking sweat potatoes, you remove them from the saucespan, then you pour it in the basin, then you mix it with fresh water in the basin, then you bath it the whole body, it cures bad smell in the body more especially among the Youth.",HLT,HLT-TRA,"Present ",Rutooro,2026-02-20 14:44:54.197+00,nus6yvak7
brrn2yfmk,Embyara ya kara eyongera ebimera kwana.,Early planting increases yields .,AGR,AGR-CRP,present,Rutooro,2026-02-21 06:56:36.873+00,mu7n2sm1v
bsh1u82kr,"Omukazi owenda , kurungi kukebenza enda omwirwaro.","As pregnant woman, it's very important to go for maternity check-up in the hospital.",HLT,HLT-MAT," Present ",Rutooro,2026-02-25 17:46:59.83+00,nus6yvak7
bujfuhp1y,Taata wange omuto arweire puleesa.,My A uncle is suffering from hypertension.,HLT,,"Present ",Rutooro,2026-02-26 10:09:57.279+00,nus6yvak7
bulbhr6uh,Omwana arweire rundi Omwana arikubi.,"The child is sick ",HLT,,"Present ",Rutooro,2026-02-25 17:18:45.146+00,nus6yvak7
byg0yjes0,Emitaka erwekirisa mukihanga likahara lirungi lwokukuza emikubi ekwiragura.,The fertile soil in the valley is in the valley is good for  growing  vegetables.,AGR,AGR-LND,simple present tense,Rutooro,2026-02-20 09:09:51.486+00,mu7n2sm1v
c5mdwml10,Kammurole obwaraba arasobora kundetera enfuka yange.,Let me see him if he will be able to bring my hoe.,AGR,,,Rutooro,2026-02-24 09:31:21.257+00,6rp3pc92m
c9del6kdm,Enyana ziba ente ento.,Calves are young cows.,AGR,AGR-LVS,present,Rutooro,2026-02-21 06:30:27.922+00,mu7n2sm1v
cc00j9zb8,Maama wange arweire sukari.,My mother is suffering from diabetes.,HLT,,"Present ",Rutooro,2026-02-26 10:08:19.227+00,nus6yvak7
cd29qavqt,"Omukazi owenda , kurungi kukebenza enda omwirwaro.","As pregnant woman, it's very important to go for maternity check-up in the hospital.",HLT,HLT-MAT," Present ",Rutooro,2026-02-25 17:46:58.517+00,nus6yvak7
cte0of32b,Omusaija ogwo muhuma wange.,That man is my herds man.,AGR,,,Rutooro,2026-02-24 10:32:35.857+00,6rp3pc92m
cvpx0htwa,"Kukozesa omubiri kurungi, kutaba endwara z'omubiri ka puleesa, kunyeta muno omubiri, n'edwara zindi ezikuretebwa obunafu omu mubiri.","Physical exercises reduces body diseases such pressure, obesity and other diseases caused by laziness in the body.",HLT,HLT-PRE,,Rutooro,2026-02-20 14:23:28.92+00,nus6yvak7
cxmfu37n2,Encu nizetaga oryoya omuli amaizi.,Fish  need oxygen in water.,AGR,AGR-FSH,present,Rutooro,2026-02-21 08:41:39.933+00,mu7n2sm1v
cxzv1j66a,Harubaju rw'omusiri gw'ebicooli haroho ek'ina kiraihire.,"On the other side of the maize garden , there is a pit hole.",AGR,,,Rutooro,2026-02-24 10:37:00.148+00,6rp3pc92m
cyynhnwmm,Ebintu kuruga Kenya bihangarra muno,"Goods from Kenya are durable ",ECO,,,Rutooro,2026-02-20 15:29:59.128+00,lpys3ifza
czpl9cwko,Endwaire omuswija gw'emibu.,Am suffering from malaria.,HLT,,"Present ",Rutooro,2026-02-26 09:24:00.521+00,nus6yvak7
czttz1q8j,Empunu nizetaaga kulisibwa kurungi.,Pigs require proper feeding.,AGR,,Present,Rutooro,2026-02-20 17:19:29.329+00,mu7n2sm1v
d0xxpw7s3,"Omuringo gw'okutagira omuswija gw'emibu nibyo binu; kwigarira ekina ekirimu amaizi gasandaire ekiri hahi n'amaka, kubyama mu katiba k'emubu, kusaha ekisaka azigati.","Ways to control malaria are; covering pits with stagnant water near the home, sleeping under mosquito net, slashing the compound.",HLT,HLT-PRE,"Present ",Rutooro,2026-02-26 09:51:52.219+00,nus6yvak7
