english,lunyoro
By the use of verbs in the present-indefinite tense both in the protasis and,(1) With obu
If you give him some work he will do it.,Obu omuha omulimo agukora.
If you give him some work he will do it.,Obu omubaliza mpora ayetegereza.
If you speak to him slowly he will understand.,Obu omubaliza mpora ayetegereza.
If you do not give him some work he will not do anything.,Obu otamuha mulimo takora kantu.
If you do not give him some work he will not do anything.,Obu otamubaliza mpora tayetegereza.
If you do not speak to him slowly he will not understand.,Obu otamubaliza mpora tayetegereza.
If you care to give him some work he will do it.,Obu oba omuhaire omulimo agukora.
If you care to give him some work he will do it.,Obu oba amubaliize mpora ayetegereza.
If you care to speak to him slowly he will understand.,Obu oba amubaliize mpora ayetegereza.
f you do not care to give him some work he will not do anything.,Obu oba otamuhaire mulimo takora kantu.
f you do not care to give him some work he will not do anything.,Obu oba otamubaliize mpora tayetegereza.
if you do not car to speak to him slowly he will not understand.,Obu oba otamubaliize mpora tayetegereza.
If he gave you some work would you do it?,"Ego, obu arukugumpa ningukora."
"Yes, if he gave it to me I should do it.","Ego, obu arukugumpa ningukora."
If he did not give you any work would you do anything?,"Nangwa, obu atarukumpa mulimo tindikukora."
"No, if he did not give me any work I should be idle.","Nangwa, obu atarukumpa mulimo tindikukora."
If he gave you some work would you do it?,"Ego, obu arukuba ampaire omulimo ningukora."
"Yes, If he gave me some work I should do it.","Ego, obu arukuba ampaire omulimo ningukora."
If he did not give you any work would you work?,"Nangwa, obu arukuba atampaire mulimo tindukukora."
"No, if he did not give me any work I should not work.","Nangwa, obu arukuba atampaire mulimo tindukukora."
F. Conditions expressed by verbs 279,Obu oraaba wali omuhaire omulimo akagukora.
If you had (before a certain time in the far-past) given him some work,Obu oraaba wali omuhaire omulimo akagukora.
presumably he did it.,Obu oraaba otamuhaire(ge) mulimo takozire.
If you did not give him some work presumably he did not work.,Obu oraaba otamuhaire(ge) mulimo takozire.
If you did not give him some work presumably he did not work.,Obu oraaba wali otamuhaire mulimo atakole.
If you did not (before a certain time in the far-past) give him some work,Obu oraaba wali otamuhaire mulimo atakole.
Note the double auxiliary use of the verb okuba in the following sentences.,Obu oraaba obaire(ge) otamuhaire mulimo takozire.
If you had not (at that time) given him some work presumably he did,Obu oraaba obaire(ge) otamuhaire mulimo takozire.
If you give him some work (in the far-future) he will do it.,Obu olimuha omulimo aligukora.
If (in the far future) you do not give him some work he will be idle.,Obu otalimuha mulimo talikora.
If you happen to give him some work (in the far-future) he will do it.,Obu oliba omuhaire omulimo aligukora.
If (in the far future) you do not happen to give him some work he will,Obu oliba otamuhaire mulimo talikora.
"dosis takes the present-imperfect instead of the far-future tense, ¢.g.",Obu olimuha ekitabu kyawe naakitwara.
If you give him your book (in far-future) he will take it.,Obu olimuha ekitabu kyawe naakitwara.
If you give him your book (in far-future) he will take it.,Obu otalikimuha talikitwara.
If you do not give it to him he will not take it.,Obu otalikimuha talikitwara.
If he has some work he will always do it.,Obu aba alina omulimo agukora.
If he has some work he will always do it.,Obu arukuba aina omulimo naagukora.
If he happens to have some work he will do it.,Obu arukuba aina omulimo naagukora.
If he has some work he will do it.,Obu araaba aina omulimo araagukora.
If in the near future he happens to have some work he will do it.,Obu araaba aina omulimo araagukora.
If in the near future he happens to have some work he will do it.,i Obu aliba alina omulimo aligukora.
If in the far future he happens to have some work he will do it.,i Obu aliba alina omulimo aligukora.
If he has no work he will not do anything.,Obu aba ataina mulimo takora.
If he has no work he will not do anything.,Obu arukuba ataina mulimo tarukukora.
If he happens to have no work he will not do anything.,Obu arukuba ataina mulimo tarukukora.
hen/if he is in the classroom he will not play.,bu aba ali omukitebe tazaana.
F. Conditions expressed by verbs 283,Obu oraaba ali omukitebe taazaane.
If he is in the classroom he will not play.,Obu oraaba ali omukitebe taazaane.
If he is in the classroom he will not play.,Obu aliba ali omukitebe talizaana.
If he is in the classroom (in the far-future) he will not play.,Obu aliba ali omukitebe talizaana.
If he is not in the classroom he plays.,Obu aba atali omukitebe azaana.
If he is not in the classroom he plays.,Obu arukuba atali omukitebe naazaana.
If he is not in the classroom he will play.,Obu arukuba atali omukitebe naazaana.
If he is not in the classroom he will play.,Obu araaba atali omukitebe araazaana.
If he is not in the classroom he will play.,Obu aliba atali omukitebe alizaana.
If he is not in the classroom (in far-future) he will play.,Obu aliba atali omukitebe alizaana.
If he came the person to welcome him home would be Kanyunyuuzi.,Kakuba aizire/obu akwizire/ayaakumutangiriire ni Kanyunyuuzi.
F. Conditions expressed by verbs 285,Kakuba aizire/obu akwizire/ayaakumutangiriire akumuhaire
would have been Kanyunyuuzi).,Kakuba yaizire/obu yaakwizire/Kanyunyuuzi nuwe muntu wenka
would have been Kanyunyuuzi).,Kakuba akaba aizire/obu yaakubaire aizire/Kanyunyuuzi nuwe
Jere is the child who cries every night when we are in bed.,Jmwana anyakurra buli kiro tubyamire ngunu.
(4) The “not-yet” tense,owa: Owaatakasabire nooha? Aije tusabe hamu.
Who has not prayed yet? Let him come so that we may pray,owa: Owaatakasabire nooha? Aije tusabe hamu.
(5) The “never” tense,owa: Owaatakaitaga mparakazi ngu egwijagiire.
The mother whose tramp has always overslept and then waken up,owa: Owaatakaitaga mparakazi ngu egwijagiire.
Those people,Ebitabu ebi
Those books,Ebitabu ebi
He is walking slowly.,. Abaza muno.
Jrugoye orurung! He talks a lot.,. Abaza muno.
"» has fallen flat (from obugazi, ‘width’).",reete bwangu.
"ing it quickly (from obwangu, ‘quickness’).",reete bwangu.
: has done according to how his grandfathers did. 2) Cemibined warts |,<ozire oku baisenkuru baakozire. :
"dnight’, and ihangw","mative prefix omu-, re"
-may be used to mark a pa,"mative prefix omu-, re"
"4) Cause, reason, purpose or motive",Bakwetera kulya ngu “olikankomaho?”
Why do you have to complain when someone has called you to eat?,Bakwetera kulya ngu “olikankomaho?”
Why should fire be loved when in fact it burns things?,Eki kikabalizibwa obutamanya.
That was said through ignorance.,Eki kikabalizibwa obutamanya.
What caused you to unpeg this skin before it got dry?,Eki kyonka kikweserekesa abantu?
Can a simple matter like that make you hide yourself from people?,Eki kyonka kikweserekesa abantu?
Never stay with the people who will make you forget your Creator.,foikaraga na bantu abaraakwebesa Omu
"However hungry you may be, never go and eat food from that man's home.",Timwijaga nambere ndi egi obu eraaba eri niyo ngeso yanyu eya buli
Depart from any person who intends to mislead you.,Murugehoga buli muntu weena arukugonza kubahabya.
"ress a habitual action, e.g.","jikaraga nonjuma oku, obu ndigira nakurugaho tolimbona."
"u abuse me daily, but when I leave you, you will not see me.","jikaraga nonjuma oku, obu ndigira nakurugaho tolimbona."
ome back in the evening so that I may tell you something.,bu araija omugambire oku mbiihiirwe.
Jhen he comes tell him how unhappy I am.,bu araija omugambire oku mbiihiirwe.
Don’t come back in the afternoon as I have a lot of books to mark.,Obu araija otamugambira oku mbiihiirwege.
When he comes do not tell him how angry I was.,Obu araija otamugambira oku mbiihiirwege.
(a) Positive,Obu olimubona omunsabire ebitabu byange.
When you see him ask him for my books.,Obu olimubona omunsabire ebitabu byange.
All of you should go to Buhinga on Saturday to watch the football match.,Obu muliba muhiigire mwite buli kisoro kyona ekiriibwa.
When you go hunting kill every animal eaten by man.,Obu muliba muhiigire mwite buli kisoro kyona ekiriibwa.
Don’t kill anything unless there is a reason for killing it.,Mutaliita kintu mutaina bulyo obu mukiitiire.
Don’t kill anything unless there is a reason for killing it.,Mutaitaga kintu mutaina bulyo obu mukiitiire.
Come back in the evening so that I may tell you something. Haakire ngende Buganda.,Obu araija omugambire oku mbiihiirwe. I prefer going to Buganda.
When he comes tell him how unhappy I am.,Obu araija omugambire oku mbiihiirwe. I prefer going to Buganda.
(a) Positive,Enjura erukugwa owaitu nyingi muno
The rain in our area is heavier than the rain,Enjura erukugwa owaitu nyingi muno
"time there was a man. Wanting to visit his friend, he called his","iru we amusendakereze, babunge hamu."
(d) Positive form with obu,Obu okumpaire omulimo nkugukozire.
If you gave me some work I should do it.,Obu okumpaire omulimo nkugukozire.
If you gave me some work I should do it.,Obu okutuhaire omulimo twakugukozire.
If you gave us some work we should do it.,Obu okutuhaire omulimo twakugukozire.
(e) Negative form with Obu,Obu otaakumpaire mulimo tinkukozire.
If you did not give me some work I should be idle.,Obu otaakumpaire mulimo tinkukozire.
"me cases obu introduces each of the two subordinate clauses, ¢.g.","Obu okuntwaire, obu okumpairege omulimo gwawe nkugu-"
(d) Positive form with obu,Obu waakumpaire omulimo naakugukozire.
If you had given me some work I should have done it.,Obu waakumpaire omulimo naakugukozire.
If you had given me some work I should have done it.,Obu waakutuhaire omulimo twakugukozire.
If you had given us some work we should have done it.,Obu waakutuhaire omulimo twakugukozire.
yerfect compound tense. Yet the following expression may be heard.,Ebyokulya ebi byona nimba nindya byaki?
Why should I eat all that food?,Ebyokulya ebi byona nimba nindya byaki?
ose who are Those who are not,aba bali Ababa batali
They have sent us a bag of groundnuts.,Omukoro gw’obuswezi haihi buli muntu agugonza.
Marriage ceremony is liked by nearly everybody.,Omukoro gw’obuswezi haihi buli muntu agugonza.
Go slowly lest you fall.,seaprarriie mparakazi ngu egwijagiire.
e that has never seen a tramp die whi i i,seaprarriie mparakazi ngu egwijagiire.
1. SENTENCES WITH TRANSITIVE VERBS,Abanyoro balima muno enkolimbo.
The Banyoro are the chief growers of pigeons peas.,Abanyoro balima muno enkolimbo.
The noun class syste,Buli omu weena arukwereesa amagundu akimanye
‘Why are you discharging your poor servant?’,Ebi otabifaaho kiiru kya maau!
‘Pay no attention to those things my dear poor man. Lit. dear big boy of,Ebi otabifaaho kiiru kya maau!
milk were all black.,"Buli nte oe emu muzibale zonka,"
"is wlatus as Class 9a noun, e.g.",Kusecese eri haihi na
!.aseese is near Kilembe.,Kusecese eri haihi na
"(Here Kaseese is taken as ekyaro (village, cl. 7) or as ekibuga (town, cl. |",Kaseese kikuzire bwangu.
Kaseese has developed rapidly.,Kaseese rukuzire bwangu.
"(Here it is taken as orubuga a Runyoro-Rutooro word for town, (cl. 11))",Kaseese rukuzire bwangu.
"prefix of a noun to indicate an augmentative or pejorative idea, e.g.",The oru- and orw- prefixes may also be substituted for the normal class
That clumsy boy is very troublesome!,Okwojo oku tikuhuurra!
He walked from morning till midnight.,Akamulinda okuhikya obu yaizire.
She waited for him until he came.,Akamulinda okuhikya obu yaizire.
added to some Runyoro-Rutooro nouns so as to give them not only new,"The Genitive particles owa, aba, ekya, ebya, eza, aka and obwa may be"
"If you are unable to possess a ferrule how can you, therefore, say that",Walemwa ery’omuhunda ngu ndaakwata ery’ekyanga!
return from pasture to night.,Kyarediyo kyabo nikiraaraga kitwomberiire buli kiro.
Those women of ours have come.,Nyabakazi baitu bali baizire.
B. The particle nya- (-nya-) 157,Kahogo eri ekazigaija enyana.
That Kahogo ‘reddish calf’ brought forth its young one a long time ago.,Kahogo eri ekazigaija enyana.
How can a person call you four or five times without answering his call?,Enyama mugikwatakwasire muno mwaginunkisa enyakaara.
You have touched the meat so many times that it now has the smell of,Enyama mugikwatakwasire muno mwaginunkisa enyakaara.
"1. ADDING A CLASS PREFIX TO A NOMINAL OR ADJECTIVAL ROOT, ©.8.",omu + ntu = omuntu ‘person’
"2. ADDING A CLASS PREFIX TO A VERBAL ROOT OR STEM, €.8.",obu + rung = oburungi ‘gooness’
The word buli offers an alternative to the reduplication of the numbers:,Buli bantu basatu bahimbe orubbaaho rumu.
added acquire the status of an adverb of place and may therefore be referred,"prefixes* omu- (omw-, omu), ha- (ha), ku-, owa- (owa) and omba are"
"Wie (owa) and omba as prepositions. But as Ashton, Mulira, Ndawula and","” Some Bantu grammarians refer to the particles omu- (omw-, omu), ha- (ha),"
aho” ‘on there’,omu ‘in there’
In Ranvalare.Rubkioa aha ic maintained,"oku ‘there, that side’"
As a prefix to the pronominal roots -mu and -ndi,Ikara hamu.
Stay in one place.,Ikara hamu.
Stay in one place.,Ija twikale hamu.
They go together.,Bagenda hamu.
muno omuraira ow’enyindo esungire and the predicate is alimire kurungi,muno omusiri okukira abakazi abandi boona ab’omu Tooro.
‘The woman has dug a garden’ may be extended to Omukazi alimire,#musiri mukooto muno okukira emisiri endi yoona ey’omu Tooro ‘The
woman has dug a larger garden than other gardens in Tooro.’ Words which,#musiri mukooto muno okukira emisiri endi yoona ey’omu Tooro ‘The
"he final vowel is e, not a), e.g.",weesereke ‘hide yourse all cf. okw-esereka
5. THE VOWEL IN SIMPLE VERB STEMS,weesize ‘stop crying’ cf. okw-esiza
His behaviour is very bad.,Engeso ze mbi muno.
Chapter four: Words and affixes,"ent, surprise, joy, entreaty"
"anger, etc. They have no grammatical or concordial bearing upon the rest of","ent, surprise, joy, entreaty"
I'hese are:,omu- ha-
‘in’ ‘on,omu- ha-
"as’ ‘with, by’ ‘as",nkooku na oku
"and’ ‘and’ ‘or, either ... or",na hamu na rundi
"and, but’ ‘in addition to","kandi — kandi n’ekindi kuba, kakuba, kusangwa"
"even if, though, although ‘all the same","noobu, noobwakubaire baitu nikyo kinu"
"but, whereas’ ‘but","kandi kunu baitu, kyonka"
"‘as’ ‘with, by’ ‘as’",nkooku na oku
Co-ordinating words or particles):,na hamu na rundi
"‘and’ ‘and’ ‘or, either ... or’",na hamu na rundi
"‘and’ ‘and’ ‘or, either ... or’","kandi — kandi n’ekindi kuba, kakuba, kusangwa"
"‘and, but’ ‘in addition to’","kandi — kandi n’ekindi kuba, kakuba, kusangwa"
"‘and, but’ ‘in addition to’","kakusangwa, obu ngu"
if? ‘that’,"kakusangwa, obu ngu"
if? ‘that’,"noobu, noobwakubaire baitu nikyo kinu"
"‘even if, though, although ‘all the same’","noobu, noobwakubaire baitu nikyo kinu"
"‘even if, though, although ‘all the same’","kandi kunu baitu, kyonka"
"“but, whereas’ ‘but’","kandi kunu baitu, kyonka"
"“but, whereas’ ‘but’","tomanya, obundi, kunu obu"
Nga: as in:,"Nga, rugayo tindukukuteera."
"No, come here, I am not going to beat you.","Nga, rugayo tindukukuteera."
Busa: as in:,Busa taina eki arukumanya nakati.
He does not know anything at all.,Busa taina eki arukumanya nakati.
Nangwa busa: as in:,"Nangwa busa, taina eki akozire."
He has done nothing wrong.,"Nangwa busa, taina eki akozire."
it’ -gu- (-gw-) ‘it,\ [omu- | eu- (gw-)
those years,emyaka eri
amaato gali ‘those boats’,emyaka eri ‘those years’
How do women dig?,"Mukatugira muti, “Obu aliija mulituha ente.”"
"You said to us, “If he comes you will give us a cow.”","Mukatugira muti, “Obu aliija mulituha ente.”"
(2) List of objective relative concords and demonstratives for things in mind,oku- (okw-)
The people he employed were few.,Abantu aba yakozeseze baali bake.
out to be too much for it.,Eki otakaliire toyebaarra.
Never put much hope in something you have not yet eaten.,Eki otakaliire toyebaarra.
u) eit+a =eya,i ebi+a =ebya
ii otu+a = otwa,\2 aka+a = aka
Tile Wine of genitive particles as object relative concords is apparently peculiar to,oku+a = okwa
lor what purpose is that beer which they are carrying?,i; byokulya byona ebi ocumbire byaki?
Why have you had to cook all that food?,i; byokulya byona ebi ocumbire byaki?
When the time for him to lodge comes a traveller who will be drown by,Owa Muziizi eraita ngu “Ndaaraara nyambukire.”
Nirunu. ‘It is this one.’,Runu nurwo rurungi (kukira oru).
This one is the nicer. (Lit. This one is the nicer),Runu nurwo rurungi (kukira oru).
the people you are seeing,abantu aba oboine
the women whom he has brought,abakazi aba aleesire
the people whom | saw,abantu aba naboine
the people whom the motor car will take,motoka aba aeraatwara
the book which you have given him,ékitabu eki omuhaire
what you do not know,eki otamanyire
he knows the time at which he will go,amanyire obwire obu araagenderamu
the time at which you will go,akasumi aka oraagenderamu
the time at which he went,akasumi aka yagendiiremu
(the book which that child is reading is mine),ekitabu omwana ogu eki arukusoma kyange
(the book which that child is reading is mine).,omuhyo obw'omwana yampa ngunu
(here is the knife which the child has just given me),omuhyo obw'omwana yampa ngunu
monkeys Stay in forest,omu: enkende ziikara omukibira
in every country,omu buli ihanga
among some of the people who went,omu bamu abaagenzire
among. others whom he sent,omu bandi aba yatumire
among all the people who came,omu boona abaizire
among a few of the people who know him,omu bake abamumanyire
they call me Manager in Bunyoro,omu Bunyoro baanyeta Meneja
among those who came,omu baizirege
among those who went,omu bagenzirege
among those who will come,omu baliija
look in the list of the contents of the book,"dora omu ""ndagiirro"
omu bamu abaagenzire (among some of the people who went),omu buli ihanga (in every country)
omu bamu abaagenzire (among some of the people who went),omu bandi aba yatumire (among. others whom he sent)
omu boona abaizire (among all the people who came),omu bandi aba yatumire (among. others whom he sent)
omu Bunyoro baanyeta Meneja (they call me Manager in Bunyoro),omu Ruhanga omu harumu abantu basatu
(there are three persons in one God),omu Ruhanga omu harumu abantu basatu
which have been given salt to drink),omu zengiirwege (among those [cattle]
omu baliija (among those who will come),omu bagenzirege (among those who went)
nju) (in mine (house,omu yange
in the first,omu y'okubanza
in Joseph's,omu ya Yozefu
his work is very easy,omulimo gwe mwangu muno
ha kyawe (kitabu) (on your book),omu ya Yozefu (in Joseph's)
