word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
Ekihondo,"Asound of two holes made by holding two hands, plunging children creating asong when grazing cattle or calling each other",Amaraka abiri agaruga mukukwataliza engaro zomuntu omu noku kuuha abaana bazihamu ekizina obababa nibeetanga,Omuliisa mpuliire nateera ekihondo kweeta mugenziwe,"I heard the shepherd playing Ekihondo, calling his friend",Abaire ayeserekere kyonka ekihondo kyamuranga namere ali,"He had hidden himself, but when he played ekihondo, they found where he was.",Rutooro,V,ART
Ebisasiro,waste,Oburofu obusingoliirwe n'ebintu ebindi ebitarukwetaagwa hanyuma yokukozesibwa.,Ebintu ebitarukujunda binagirwe hoona kandi tibikurabwaamu njura.,None organic materials are scattered everywhere and rain water can not penetrate them.,Kuta hanu ebisasiro ebirukujunda nebitarukujunda tikiri kirungi.,Disposing organic and non organic waste in one place is not good.,Mixed,N,ENV
Omusakazi atanag'enjura,He who roofs the house perfectly well,omusakaazi omurungi kandi mwesigwa,Nzaire omusakaazi atanag'enjura nikusaba omukazi.,"In your trust, i beg to be given a wife","Owaawe Nzaire, Owaawe Agutamba.",Feel at home the most trusted,Mixed,ADJ,CUL
Kusesa amahasa,The ceremony joining the two families of mother and father of the twins to eat together and cerebrate the birth of twins.,okuterana kwa obowaabu nyinabarongo na isabarongo muka emu habwokuliira hamu nokusiima rubanga.,Hakiro kyokutaha baketweeka oburo buhiire babutwaara owaabu isabarongo.,The family of the twin mother carried cooked food to the twin father's family.,Akeemera ayetwekere oburo kuhikya nyakatagara obuyarugire omunju kubumutuura.,He couldn't put down the basket of millet from his head until the priestess came out of the house to receive the basket.,Mixed,V,ART
kujwaha,Tired,wakohooka,omulimo gunu gunjwahize muno .,i am tired for this work.,nabaza tarukujwaha nakati.,spoke with out getting tired.,Mixed,N,NAR
Kuhakaniza,refusing,kuhaniza,Ayangire kwikiriza ebibabalize.,She has refused to accept what they said.,Ayangire kwikiriza encwamu etali y'obwinganiza.,He has refused to follow unfair rule.,Mixed,V,DLY
Enguudo,roads,Emihanda enyakuroho kukonyera abantu kugenda mu bikaro ebitalibimunabimu.,Enguudo enungi zikoonyera abantu kukora emirimo yaabu.,Good roads ease communication and movement among the people.,Enguudo niziikonyera abantu kugenda kusoma n'okugenda mumarwarro.,Roads ease communities access to schools and healthcare centers.,Mixed,N,ENV
Okuzaana,"Playing is taking part in an activity for recreation,enjoyment i.e games etc.",Ekikorwa kyokwetaba mumizaano.,Aboojo nibazaana omumpiira gwamaguru.,The boys are playing football.,Ogu nazaana nkweserekerire.,That one is playing hide and seek.,Mixed,V,DLY
Itaka,soil,itaka,Itaka niryo limeza ebimera.,Soil plays a vital role in plant growth.,Itaka erirungi liiragura.,Loam soil is commonly black.,Mixed,N,ENV
Kwookya ebikoomi,setting sire on weeds and grass after preparing land.,okwaakya ebinyansi ebyooba olimire mumusiri.,"Ebinyansi byoona akabyokya, ebyokurya tibyaija kurungi.",She burnt all the grass after digging and her garden lost fertility.,Owomuruka akataho omusomo gw'okutanga abantu kwookya ebinyansi ebyolimire.,The parish chief sensitized the community about the dangers of burning grass after digging.,Mixed,V,ENV
Kutendeka,Train,To train a skirr,Kutendeka abeegi omu itendekero.,Training students in a collage/institution.,Abasahu batendekebwa,Doctors are trained.,Mixed,V,EDU
Emiyaga emibi kusiisa ensi,Global warming,Kusiisa obufuki nobutagasi bwensi nubuleerwa emirimo etali emu.,"Orwooya n`emiika mibi kuruga mu makoorro,nibisiisa muno enyikara yensi.",The gases and fumes from the factories have polluted the atmosphere.,Enjara n'endwale bikanyire habworwo oya orubi orurukuruga mu makoorro.,Famine and poor health have increased due to the bad air in the atmosphere.,Mixed,N,ENV
Kufuberra,Deterioration,kugarukirra.,Ogu tagenda mumaiso.,That does not develop.,Habwaki otarukweyongera mumaiso.,Why are you not developing.,Mixed,N,DLY
Kwookya oruhiira,Bush burning,kwookya ekisaka ekitarumu kantu habwokulima rundi kwombeka.,Akookya oruhiira atagenderiire yayokezaamu n'amaju.,Many houses caught fire when he burnt the bush.,Akookya otuhiira rwakwata nekisaaru ategenderiire.,He burnt the bush and the fire spread to the swamp.,Mixed,V,ENV
Owobujunanizibwa,The resposibility.,Arukukwatibwaho hansonga.,Omuntu owobujunanizibwa ahikiriza omulimo gwe ogumu hairwe.,A resposible person always fulfill his respobility.,Obu nibwo bujunanizibwa bwawe.,That is your responsiblity.,Mixed,V,DLY
Okufa,To die,Okufa kwabuli omu mpaka,Abihimba bifiire byona,Planted beans dies completely,Abantu bafire eka ehoireho,People dies and the family is no more,Mixed,V,NAR
Ebibuga,Urban areas,"Ekiikaro kirumu abantu nibakora, ebyombeko biingi, birungi nebyetaago ebirukukira obwingi birumu.",Ekibuga kya'kampara lirumu abantu baingi abamahanga agataligamu.,Kampala city is densely populated with many different tribes.,Mu kibuga harumu amakoorro maingi kandi nigarugwaamu omuyika ogurukusisa abmwomeezi.,There are many factories in the city which bring out smoke that is harmful to our lives.,Mixed,N,ENV
Ekiteteyi,Putting on a dress,omukazi najwara ekiteyi,Omukazi atairemu ekiteteyi kirungi.,A woman is putting on a nice dress.,Ajwaire baitu ekiteteyi tikimuhikire kurungi.,She has put on unfitting dress.,Mixed,V,DLY
Kucekeca,to dance(vigorously using the waist),kuzina n'amaani nokozesa ebicweka byomubiri gwawe ebyenbajunogendara hangoma.,Bakacekeca muno oti rundi tibaina magufa!,They danced vigorously like as if they had no bones.,Bakacweka mumbaju bayoleka obukugu bwabo.,The displayed their expertise during the dance.,Mixed,V,ART
Kuhaswa,Pheumonia,Infected,Embuzi nazo irwaara kuhaswa.,Goats also suffer from pheumonia.,Embuzi zoona kazirwaire.,All the goats are diseased.,Mixed,N,AGR
Ebizina ebicwereriirwe,a song created with words on a new subject and a new tune,Iraka erhyaka n'ebigambo ebihyaka ebyekuzina.,Ekizinz yacwereriire hamusisa kikasemeza abantu.,The song he composed about the earthquake pleased many people.,Akacwererra ekizina ky'omumywererro kyayegesa baingi.,He composed anew song about AIDS and educated many.,Mixed,N,ECO
Omwijurraine,over population,Abantu kuba baingi bakakira ebintu ebyokukozesa,Abantu obubarukuzaarwa baingi nibafundaomunsi.,"When the birth rate is high, the population will be squeezed in that particular place.",Emirimo enyakuroho tesobora kumara abantu habwokuba baingi muno.,The available jobs wont be enough for the big population.,Mixed,N,ENV
Ebyokujwara,Things to wear,Ebijwaro,Ebyokujwara byange bikuzire kangede nguleyo zindi ntagenda busa.,"All my clothes are getting old, let me go and buy more before i get undressed.","Mugezi wange omwojo ampairege sente, niziija kunkonyera.",My brother gave me money it will help me.,Mixed,N,NAR
Kwekulingura,Rolling,kweburungura,Habwaki nayekulingura ali kurungi?,why is he rolling is he fine?,muhara wange ekiro narara nayekulingura mukutabu.,my daughter at night keeps rolling in the bed.,Mixed,V,NAR
Amakoorro,industries,"Ekikaaro nambere bakorra ebintu ebihyaka nibakozesa, nibabiiha mubintu ebitalibimu.",Amakoorro gakozesa ebyooma ebyamaani.,Factories use very strong machines.,Ekyoma kya Hima kikora nikireeta omwiika mwingi.,Hima cement industry releases a lot of smoke when in operation.,Mixed,N,ENV
kwihamu,to remove,kwihaho rundi kutwara ekintu mukikaro ekindi,ekintu omukikaro kinu kihemu okiteeke omumwanya gundi.,remove that thing and put it into another place.,omwojo ogu abaire kwihaho esapeeho egi okarora isoke nkoku lirukusana!!,if that removes that hat and you see how his hair looks like!!,Mixed,V,NAR
Amahiga,Stove,Ebyokurya bicumbirw`ahamahiga.,Kozesa amahiga okucumba.,use the stove to cook.,cumbira ha sigiri,cook using the stove,Mixed,N,DLY
Ekinaga,cooking pot made from clay.,Ekinaga kyibumba ekyomukubi.,Ebyokurya bicumbiwre mukinaga nibiboya kurungi.,The pot gives the food anature flavor.,Linda kurungi ekinaga otakyata.,"Handle that pot with care,so that it may not be broken.",Mixed,V,DLY
Kujuna,To rescue (saving someone from danger),Kujuna omuntu kumwiha mukabi.,Abazimya murro bajunire omwana nibamwiha munju.,Fire force helped to rescue the child.,Juna ogu atadikira mu maizi.,Rescue her from downig in water.,Mixed,V,DLY
Ekizina,music(composition designed to be performed by human beings by voice or instruments),"amaraka agatekanizibwe mu noota ezitarukusisana, ezikurataine nukwo zirugwemu iraka eryekizina ekirukusemeza arukuhurra.",Mpuliirege ekizina kirungi haradio.,I listened to a nice song on the radio.,Ekizina kyobukama kigira iraka lirungi.,The kingdom anthem of Tooro and Bunyoro have pleasant melodies.,Mixed,N,ART
Ekitontozi,A toddler (Young child between 1 and 3 years old.),Ekitontozi (Atakahikize emyaka esatu yobukuru.),Ekitontozi nikirumwa enjara.,The toddler is hungry.,Gabira ekitontozi eki.,Feed that toddler.,Mixed,N,DLY
Ekihuro ky'oburo,Traditional Meal,Oburo Mirret bread,"Ekihuro kyenzaarwa ekikuru nubw'oburo, bwine kuba hamukoro gwona ogwenzaarwa, nkahakweranga habaho ekihuro kyomuko ekikuru Oburo n'esabwe.",The most traditional meal is millet bread this must be on all traditional ceremonies like at introduction always that special meal for son in- law millet bread and traditional source.,"Oburo butekanizibwa ohonda,okaranga, osegesa,osa, okekeya, ohotora nukwo oihura.","The millet preparation as follows: pounding, frying, winnowing, grinding, sieving, mingling and serve.",Mixed,N,CUL
NKYA,God the source of blessing.,Nkya nungi .,"Nkya -Nungi, abukisize, mwimuke tugende kulima.","The God of blessings has made anew day , please let us go to dig.","Ogu omwana nka muhabwa Nkya, nahabweki Ibararye nuwe Byenkya,","That Child is given by Nkya the God of blessings, therefore his name is Byenkya.",Mixed,N,SPR
Kwebuga,To boast,Kuninira,Kwebuga kuletera abantu omuhimbo bahurra bali muka.,"Boasting gives people joy ,and they feel at home.",Engabu neyebugwa abasaija bonka.,Riddle is typically a traditional done for men only.,Mixed,N,NAR
Kuhumura,Resting,Kujwahurruka,"Hanyuma yorugendo, ahumwireho habwesaaha ibiri.","After a long journey, he was resting for two hours.",Omuzaani ahumwizeho amaisoge hanyuma yokumara ekiro kyoona nakwata sinema.,The actor was resting his eyes after a long day of filming.,Mixed,V,NAR
Kwirukira mubibuga,urbanization,abantu baingi kwirukira mubibuga bakuruga mubyaraaro,Obubaire murubuga nubwo baatungire emirimo.,They were employed after moving to town.,Embuga enyingi zirumu abantu baingi muno.,Many towns are overcrowded with people.,Mixed,V,ENV
Emukubi,Source,Kukoza,Tugira emikubi yembaganiza.,We had different types of source.,Emikubi ekonyera kuliisa ebyokurya.,Source supports to eat food.,Mixed,N,DLY
Epogora zenkonera,Un peeled matooke,Empogora,Acwiremu kutekaniza ebitooke byensusu ekyarwebagyo.,She prefers to prepare un peeled matooke for supper.,"Omuntu kwomera obwomezi oburungi, kurya ebyorya byensusu birungi.",Peaceful living eating un peeled food like matooke and sweet potatoes.,Mixed,N,DLY
Oburaaya,Irish potatoes,obutakuli,Oburaya bwanguha kuhya.,The Irish potatoes are easy to cook.,Obutakuli bunura kandi bwomugaso habaana.,The small potatoes are sweet and nutritious to the children.,Mixed,N,CUL
Kulengara,To glance,kurorra hara,Alengireyo dimu yamanya hsroho ekisobere.,With one glance he knew something was wrong.,Amunagire eriso lihoire akyali hara.,She shot him a sharp look of surprise.,Mixed,V,DLY
Kusimba,"Planting(act of putting seeds, seedlings in soil)",ekikorwa kyokubyara embibo.,Tubaire nitusiga embibo.,We have been planting seeds.,Asimbire emiti nyingi.,He has planted many trees.,Mixed,V,DLY
Ebinyonyi,Birds,Ebinyonyo bihangwa by'amapapakandi bihararuka mumwaanya.,Ekihuguhugu kiharruuka kanutikiri kinyonyi.,The bat flies but it's not a bird.,Ebinyonyi obundi bisasaniza embibo mu bikaro bitalibimu.,Birds play a role in seed dispersal.,Mixed,N,ENV
Kusuhuuka,immigration,abantu kuruga owaabu bakatanga oburaaro munsi etali yowaabu habwobulemu.,Obulemu bukakanya n'abasuhuuki baaba baingi mu Uganda.,The war has forced many people to immigrate to Uganda.,Haroho abantu abarukufuruka habwokuseerra emirimo.,Many people have immigrated in search for work.,Mixed,V,ENV
kutagiza,wandering,kutangata,engo obuyakagire akaboyo kenyama yatandika kutagatagize neserra nambere karukuleetwa.,"the leopard after smelling meat, started wandering around looking where the incense coming from.","warugo obuyatagiize kyaira wakame yamukaguza ati, kiki warugo kotatekaana? nandiki warugo ati, ndeka wewe nanunkirwa akasoro katali kange.","when the leopard wandering several times, the hare asked the leopard what happened your not settled? leopard says leave me, am sensing foreigner animal.",Mixed,V,NAR
Enanga,Basongora Love Hamitic song(songs sang by women in praise of men),ebizina byengozi (bizinwa abakazi bonka nibahaisaniriza abagonzibwa baabo.,Abahumakati ba busongora bamanyire kuteera enanga yemigoye kurungi.,The female Hamites of Busongora sing accompanied enanga with a harp.,Enanga y'emigoye kidongo ekirukuteerwa abakazi bonka.,The harp is an instrument played by women only.,Mixed,N,ART
Owanyinanyowe,my maternal brother/ sister,mugeziwange.,Owamau habwaki okyabyamire? tokimanyire tusemerire kugenda kusaba.,my sister why are you sleeping right now? don't you know we supposed to go for prayers.,"mwanamau ebintu nyowe kabinsobiire, omale oijeyo turole muka.","my brother am totally confused ,you will pass by home we see.",Mixed,N,NAR
Hamuryango,Siting room,Ekisika ky`okwekaramu,Baikalire hamuryango,they are seated in the siting room,Tugenda hamuryango,lets move to the siting room,Mixed,N,DLY
Emirindi,stumping the ground strongly to make a loud sound.,kurubata n'amaani maigi n'abantu bakahurra omulindi.,Obwaaba nazina omulindi gwe oguhuura.,While dancing his stumping is ever loud.,Oli mwana wobwisiki leka kuteera emirindi.,As a girl you are not supposed to dancing while stumping.,Mixed,V,ART
Omunywani,A friend,Enganjani,"Omunywani yagenda kugura ebyokurya omukatale,obwakaba nagenda yarora omukazi wamunyaniwe, yamugambira nkoku munywaniwe ali hakitabu omwirwarro. Habwengonzi akaleka kugenda omukataleyagenda kurora munywaniwe.","A friend went to buy food from the market, when he was on the way he mate the wife of his friend, she told him that his friend is admitted. because of love he left going to the market went see his friend.","Omunywani hanyuma yokurora munywaniwe,akasana owataaha atarwaire, akamugamba hanyuma yokukurora nkizire.","The friend after seeing his friend, he was like been not sick he just said, my friend, after seeing you am healed.",Mixed,ADJ,NAR
Omuniongorozi,Earth worm,ekityereju,Genda mpora byona nibiija kuhikirra munywani wange nebyekurra nka omuniongorozi gutaaha.,"Go slow, everything will be successful my friend, even the reptiles like earth worm reaches.",Mporampora ekahikya omuniongorozi haiziba.,Slowly by slowly made the earth worm reach the well.,Mixed,N,NAR
Ebyoburambuzi,eco tourism,kibungira ebiikaro ebirumu ebyobuhangwa ebirinzrwe,Ebyoburambuzi nibikonyera kulinda ebybaireho kara.,Eco tourism helps us to keep animal species which are not common now.,"Abaheeru baija Uganda kurambura ebyenzaarwa, emigenzo n'emirimo yengaro.","The tourists learn about traditional practice, festivals and crafts.",Mixed,N,ENV
Kukekeya,Sieving,Ensaano,Kudegedura kwihamu encenka.,straining to separate fine particles from larger.,Kukekeya kutungamu akaniini,Sieving to get the fine particles.,Mixed,V,CUL
Eby'omwitaka,minerals,ebyobuguuda(ebintu ebyomugasa ebimera omw'itaka nibireeta sente kandi nibikoonyera n'emibiriri yaitu),Zaabu n'efeeza biruga mwitaka kandi bireeta obugaiga.,Gold and silver are important in economic development of a Nation.,Kulima n'enfuka kuhaiga ezaabu n'enfuka nikitwaara obwiire bwingi muno.,Extracting gold with a hoe takes along time(wastes a lot of time),Mixed,N,ENV
Entura,Respected person,omuntu wenyetwaza nungi,Ogu aba ntura muno.,That one is a respected person.,Aba ntura mali.,He is of high caliber.,Mixed,N,DLY
Kuroota,Dreaming.,kuroota.,Ndosire nizina ekizina ekirungi.,Idreamt singing a niece song.,omwojo arosire navuga enyonyi,The boy dreamt driving an eloplane.,Mixed,V,DLY
Kwanguura,recycling,ebintu ebikuzire ebinagirwe kubigaarra mu'ikoorro kuihamu ebihyaka.,Kugaarra ebikozesibweho n'ebinagirwe omu ikoorro nikikonyera kulinda itaka ryaitu.,"When used up materials are reprocessed, waste and pollution will be reduced.",Ebevera n'ebicupa nsangire abaana nibabisorooza kubitunda.,I found collecting empty bottles and polythene bags for sale.,Mixed,V,ENV
obutahurra,confusion,obugunisiriza,kutahuliriza omuntu ekyakugamba kibi muno.,its very bud not listening what someone says.,hurra aheeru enjura neegwa.,listen outside its raining.,Mixed,N,NAR
Iraka,Voice,Kubaza,"Abazini baine amaraka marungi ,ninyija kusaba kubeteranizaaho.","The choir has a very nice voices, i will request to join them.",Mpulire amaraka marungi muno.,I heard nice voices from radio program.,Mixed,V,NAR
Ebigwererezi,Natural disasters,ebyobuhangwa ebirukubaho bitetegekerwe kandi bikasisa ebintu.,Omusisa obgwatiire gukasiisa bingi.,That earthquake caused a lot of destruction.,Enjura y'enjato ekaihaiho amabaate g'enju yaitu.,Katabatic winds carried off iron sheets of our house and uprooted trees.,Mixed,N,ENV
Emanzi,Warrior,omurwani owamaani,Akamerra nobumanzi bwingi yarwana yasingura obulemu.,The warrior fought and won the war.,Ogu murwani mali.,That one is real warrior.,Mixed,N,DLY
Kumalirra,Finally,kuhendera,hakumalirra gwali murundi gwange gwokubanda kurora entale nerra yatandika kutekaniza omulingo gundi gwokutungiramu ebyokurya.,Finally it was my first time to see the lion crying started planning for another way of getting food.,"nyowe nkasiga embogo nekiisa kimu, entale neraara enjara nidugayo.",i left the Buffalo surviving that day and the lion sleeps empty stomach i leave.,Mixed,V,NAR
Eryogero,Bathroom for bathing,ekisika kyokogera mu,Eryogero ry'ecumi muno.,The bathroom is very clean.,Agenzire mu ry'ogero kwoga.,she has gone in the bathroom to take a shower.,Mixed,N,DLY
Ekihuro,"A meal (i.e breakfast, dish)",ekihuro ky'obyokurya,Abaana banulirwe ekihuro.,The children enjoyed their evening meal.,Tulirega ekihuro kyaitu hansi y'omuti gw'omuyembe.,We ate our meal under a mango tree.,Mixed,N,DLY
Okutabaara,King's meal already at table,0ruhango rutekaniize,"oruhango rutabaire mwije turye n,omukama","The meal is ready, come and we eat with the King",Oruhango oburuba rutabaire tibabaza,No talking at the king's Meal,Mixed,V,CUL
ryahurro,store,ekikaro ekyokwahuramu ebintu.,yahura ebicooli ebi muryahurro.,Keep those maize in the store.,Tugende muryahurro.,Let us go in the store.,Mixed,N,DLY
Omugurusi,The old man,omusaijamukuru,"omusaija mukuru hanyuma yekyamusana, yaikarra nabaiijukuru hansi yomuti nabagambira ebirukukwata haburugo bwaabu.",The old man sited with grandchildren under the tree after lunch telling them about their family background.,Kuhereza ekitinisa abantu bakuru ekyokurorraho abagurusi nikikuhereza emigisa omubyoona orukukora omunsi.,giving respect to elders gives you blessings through all what you do on earth.,Mixed,V,NAR
Omurogo,Sorcerer,Omusezi,Abasezi basera ebyokurya byoma omumisiri bitakezire.,The sorcerer makes food dry in the gardens before when its not ready.,Obwoyesengereza omurogo akumarra abaana.,praising a sorcerer can finished your children.,Mixed,N,NAR
Ntakimanye,''I wasn't know '',Kukenga,Orufumo runu nirwoleka omuntu kugwa omunsobi atagimanyire.,This is a proverb showing that a person to go into something wrong unknowingly.,Ntakimanye butoosa ija hanyuma y'ensobi kubaho,Always had not known comes after mistake happens,Mixed,V,NAR
kubihirwa,to be annoyed,kutabuka,munywani wange ombihiize mali.,my friend you really annoyed me.,abasomesa babihiirwe muno abaana habwokugwa ebirengeso.,teachers were very annoyed because of pupils fails exam.,Mixed,V,NAR
Kwookya amakara,charcoal burning,kwookya ebiti okaihamu amakara gokucumbisa.,Bakookya amakara maingi ekibira kyahwaho.,They produced a lot of charcoal and left the forest bare.,Omugezi gukasiisa ebimera ekibira obu kyarugireho.,Deforestation led to soil erosion which damaged most of the remaining plants.,Mixed,V,ENV
kukora,working,kufuba,otahwa amaani genda mumaiso nokora.,never give up continue working.,tugende tukole obwire bwahwayo.,"we go and work, time is not there.",Mixed,N,NAR
Kucwamu,to decide,kukora encwamu,Ncwiremu kukenda.,I have decided to go.,Iwe ocwiremuki?,What have u decided?,Mixed,V,DLY
Akazigizigi,climax(time for climax of the dance where dancers display all techniques),Esaaha yomuzini kwoleka abantu obukugubwe mukucekeca.,"Esaaha obuyali ehikire, abasaija bayoleka obukugubwabu mukizina.",When nearing the dance climax men displayed their skills.,Amazina agatayole akaire kakazigizgi tigasemeza abantu.,A dance without a climax does not look entertaining.,Mixed,N,ART
KUKAGUZA,Greeting of A KING especially by women,Omukama kumuramukya kukira muno Abakazi .,Rukirabaisaija ninkukaguza.,"Greetings, your Magesty.",Ndozirege Nyina Omukama nakaguza OMutabani.,I saw the King mother greeting her Son.,Mixed,V,CUL
kuterebuka,to slide and fall down.,kutyoka/kuterra,omukaikuru mumutwale mporampora eki ekikaro kibi asobora kuterebuka nagwa.,Take the old woman slowly that place is not good she might slide and fall down.,omwana ataterebuka akagwa okatuletera obulemeezi mumwiheyo oku .,"Bring a baby from there, she might slide and fall .",Mixed,V,NAR
