id,word,dialect,definitionEnglish,definitionNative,pos,domain,subdomain,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,additionalSentences,relatedWords,nounClass,verbExtensions,tamMarkers,register,audience,sourceType,provenance,copyright,dateCreated,createdBy
0blmpeyzi,Kwiruka,Mixed,Run,Nibairuka,N,DLY,,Nairuka enziriga,He is running very fast,Bairukire emisinde,They run extremly fast,[],,,[],[],general,general,original_composition,,Project_License,2026-02-16 09:12:22.678+00,xv6uqkb9l
0cawtl1iq,Ebizina byo kuragura,Mixed,Songs for sorceryto keep appease the gods.,ebizina ebyomufumu azina nikwo ayete amaani g'embandwaaze.,V,ART,,omurwaire akanga omubazi habwokuba omufumu atazine.,The sorcerer's client never believed because the sorcerer never danced.,Abantu baikirizooga ngu embandwa kakubazitabaza buli zikwangire.,Believers had it that if the gods cant respond when the sorcerer does not sing.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-20 15:37:03.897+00,z7cmq5grs
0citb49dh,Kwitongola,Mixed,pairing in dance(the action of a man choosing the best female dancer out of many),omusaija kakomayo omukazi arukuzina kurungi akazina nawe nayeyoleka nkoku ali musaija mukozi kwo woru nyege.,V,ART,,Abaisiki batongorwa abasaija.,Men select women to pair with in the dance.,Omusaija nawe atongora omukazi murunyege.,Its the man who selects a woman to dance with.,[],kukomayo(to select/choosing the best dancer of opposite gender),,[],[],general,general,original_composition,,Project_License,2026-02-21 06:11:09.065+00,z7cmq5grs
0dxabyf0e,Abaranzi,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
0fos953db,SITAANI,Mixed,SATAN," SATANI",N,SPR,,,,,,[],"Enjoka, Omwohi, Okwohya,",,[],[],general,general,original_composition,,Project_License,2026-02-23 18:40:08.416+00,ruom6sfi4
0gisn93cw,OKUZARWA,Mixed,It is an official request to marry in that family,kigambo ekikozesebwa kusaba kuswera omuka egi,N,,,Kahirra akagenda mwa Kadoma yasaba OKUZARWA omuka egi,Kahirra went to the family of Kadoma and requested for marriage of one of the daughters,Kahirra obu yasabire OKUZARWA omuka ya Kadoma bakamuhuririza kandi bamugamba 'Genda oije',"After  Kahira had requested  for marriage in the family,he was told 'go prepare and come back '",[],okuswera,,[],[],general,elders,original_composition,,Project_License,2026-02-19 10:36:01.277+00,ruom6sfi4
0ibw245vj,AYEZA,Mixed,,,V,SPR,,,,,,[],"YESU, ABANTU, ESAGAMA,",,[],[],general,general,original_composition,,Project_License,2026-02-23 11:02:29.982+00,ruom6sfi4
0ip0wm56l,Kuleta,Mixed,Bring,Ndetela,V,DLY,,bring my shoes,Leeta Enkaito zange,Am going to bring your things,Nigenda kuleeta ebintu byawe,[],Katabarira(to bring),,[],[],general,general,original_composition,,Project_License,2026-02-16 12:51:44.178+00,xv6uqkb9l
0iup85vl8,"ARAMIBWA,",Mixed,,,ADJ,SPR,,,,,,[],"RUHANGA,",,[],[],general,general,original_composition,,Project_License,2026-02-23 08:51:27.429+00,ruom6sfi4
0k8vaglcp,Owekitinisa,Mixed,Title for  the Mother of the King,Owekitisa Nyina Omukama,ADJ,CUL,CUL-ROY,Owekitisa Best Kemigisa akombeka Isomero Kitumba,Her highness the queen Mother Best Kemigisa built a school at Kitumba,Owekitnisa Nyin'Omukama owempeeka w'Omukama Solomon  Gafabusa Iguru aruga Tooro,"Her highness the ceremonial Mother of King Solomon Gafabusa Iguru, hails from Tooro",[],"Waitu, Mugole wange",,[],[],general,general,original_composition,,Project_License,2026-02-17 01:43:41.959+00,ruom6sfi4
0lcvh4nhy,Obusubuzi,Mixed,trade,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 11:52:57.979+00,1lzzop9e4
0neegz9uf,Ekihondo,Rutooro,"Asound of two holes made by holding two hands, plunging children creating asong when grazing cattle or calling each other ","Amaraka abiri agaruga mukukwatariza engaro zomuntu omu noku kuuha abaana bazihamu ekizina obababa nibeetanga ",V,ART,,Omuliisa mpuliire nateera ekihondo kweeta mugenziwe,"I heard the shepherd playing Ekihondo, calling his friend",Abaire ayeserekere kyonka ekihondo kyamuranga namere ali,"He had hidden himself, but when he played ekihondo, they found where he was.",[],Kuteera Ekihondo (Playing or blow the kihondo),,[],[],general,general,original_composition,,Project_License,2026-02-21 16:06:01.707+00,z7cmq5grs
0qy3pu6r7,Endemu,Mixed,An axe for cutting wood,endemu y'okutema emiti,N,DLY,,Endemu enkuru neyetaga omuhini.,The old axe needs a new handle.,Wegendereze nkoku oukukozesa endemu.,Be careful while using an axe.,[],endyamiti,,[],[],general,general,original_composition,,Project_License,2026-02-20 19:24:01.448+00,1lzzop9e4
0r4uirfj9,kwekanga,Mixed,to be scared,kutiina,V,NAR,,"wankanga ","you make me scared ",kukanga abantu nukwo orabeho.,to make people scared so that you go through.,[],"ayekangire,mwekangire,kyekangire",,[],[],general,general,original_composition,,Project_License,2026-02-17 09:53:08.563+00,7ldvwi8jh
0stl1aand,Owaitu,Mixed,At our place,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 06:50:15.989+00,1lzzop9e4
0tqfj1ys5,Nyinarumi,Mixed,"Maternal uncle ","Omusaija anyakuzaarwa nanyina muntu, ",N,,,Biro binu omu buswezi tibakyatalibaniza kutwara amarwa ga BANYINARUMI hara muno.,In Marriage these days they no  long disturb to take the  Beer of  maternal Uncles  to their homes as it was in the past .,Nyinarumi muntu nauwe aba wekitinisa,The Maternal Uncle is  a person of respect.,[],"Omukazi,Nyokozaara, ",,[],[],general,elders,original_composition,,Project_License,2026-02-20 04:53:46.292+00,ruom6sfi4
0ulqrjn95,Kaho,Mixed,Peas,,N,AGR,AGR-CRP,,,,,[],Roast,,[],[],general,general,original_composition,,Project_License,2026-02-21 12:15:56.594+00,wmqgng8ap
0xb2oa3ro,Oburungi,Mixed,beauty/pretty,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 11:47:09.307+00,1lzzop9e4
0xmofq40e,Abasangwa,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
0yf8z2k88,OKuhanura,Mixed,to discus about an issue,kuhura hansonga,V,DLY,,Bakahura hansonga yokuturuka kugenda muka enkoto.,They discussed about moving to a bigger home.,Nituhanuraho ensonga y'amaani erukukwaata hakulinda obwecumi bweka.,We are discussing about the home cleanliness.,[],"kucika,kugayagaya ensonga, dialogue",,[],[],general,general,original_composition,,Project_License,2026-02-22 13:55:48.733+00,1lzzop9e4
0zmmo1y6b,Kurolera,Rutooro,Care,,V,AGR,AGR-CRP,Kurolerra ebisoro nakwo bakwega.,Care for animals is taught and learnt.,Ebisoro byomumaka nibisemera kworolerwa kurungi.,Domestic animals should be cared for.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 16:00:43.851+00,wmqgng8ap
11skb4950,Ebitakuli,Mixed,sweet potatoes,,N,AGR,,Ebitakuli nibiguma.,Sweet potatoes are hard.,Abaana bagonza kulya ebitakuli.,Children like eating sweet potatoes.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-19 18:49:31.073+00,wmqgng8ap
11z4a5g5c,Akayamba,Mixed,A reed percussion instrument with a rattling sound,Akagamba kokucikya............,N,ART,,"Omusaija abuzirwe orwooya,endere yagamba kubi",The man did not have enough breath to blow the flute,Ayakozire endere akagitaho obuhuru butaito,The maker of the flute did not put enough holes,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 15:44:35.958+00,z7cmq5grs
1256u9z38,EKKA,Runyoro,Home where husband wife live,Ekka nambere Omukazi n'omusaija baikara,N,,,EKKA yange eri TOORO,My home is in Tooro,"Ekka ya mugenzi wange Mugenyi, eri Bunyoro",The home of my brother Mugenyi is in Bunyoro,[],"Enju, Obwikaro",,[],[],general,general,original_composition,,Project_License,2026-02-18 07:35:54.916+00,ruom6sfi4
14pkz9s99,Kufundikira,Mixed,Cover,Kufundikira nocumba,V,AGR,,"Ebitooke babifundikire,nibagenda kucumba","They have covered bananas, they are going to cook",Obwoihwire omukubi kotagufundikire?,"If you have served the soup, why haven't you covered it?",[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 08:42:42.985+00,wmqgng8ap
156thc63l,OMUKAZI AINENDA TAGURUKA EMPAZI,Mixed,"Pregnant woman should not jump the crossing red ants ",Omukazi alemiire taguruka empazi.,V,,,Omukazi weena atiina empazi.,Every woman fears the red ants.,Omukazi aina enda ayerinda kugendagenda  mubisaka ataija kusangayo empazi.,A pregnant woman does not walk carelessly in the bush for the fear of red Ants.,[],"EMIZIZO,",,[],[],general,general,original_composition,,Project_License,2026-02-21 10:23:45.752+00,ruom6sfi4
168uhshih,Omuliisa,Mixed,farmer,,N,AGR,,Omuliisa alinda ebisoro.,The farmer keeps animals.,Ebisoro bikara omu maka.,Animals stay in homes.,[],omulimi,,[],[],general,general,original_composition,,Project_License,2026-02-19 16:00:31.39+00,wmqgng8ap
17nces4cy,EKIGAMBO MUBUSWEZI,Mixed,"OFFICAL WORD IN MARRIAGE ","Ekigambo kya Isezaara muntu Kutaho ekiro eky'okugabura ",V,,,Amaarwa g'ekigambo  gasaba ekiro ky'okugabura,"The Beer given for Ekigambo  attracts the date for Wedding.  ","Obwotunga EKIGAMBO otandikiraho kutekaniza obugenyi. ","When you are given the date for marriage, you start preparing for the wedding.",[],"Ekiro ky'okugabura,Isezaara muntu.",,[],[],general,general,original_composition,,Project_License,2026-02-20 06:34:43.619+00,ruom6sfi4
1a086kkuw,Endwaire,Mixed,,,N,,,Ebisoro byomumaka bigira endwaire nyingi,Domestic animals have many diseases.,Abafumu bebisoro nubo babijanjaba .,Domestic animals are treated by animal doctors.,[],enfu,,[],[],general,general,original_composition,,Project_License,2026-02-21 16:23:53.868+00,wmqgng8ap
1byqczlq1,kwihamu,Mixed,to remove,kwihaho rundi kutwara ekintu mukikaro ekindi,V,NAR,,ekintu omukikaro kinu kihemu okiteeke omumwanya gundi.,remove that thing and put it into  another  place.," omwojo ogu abaire kwihaho esapeeho egi okarora isoke nkoku lirukusana!!",if that removes that hat and you see how his hair looks like!!,[],"ihayo, mwiheyo, kiheho",,[],[],general,general,original_composition,,Project_License,2026-02-17 02:30:22.691+00,7ldvwi8jh
1cgjh09ik,Mwegendereza,Mixed,Careful,,ADJ,EDU,,omwana  muhulizi ayegendereza.,A careful child.,Akira kwegendereza ebyakora.,HE/ She is careful with what he/she does.,[],ayetoliika(very careful),,[],[],general,general,original_composition,,Project_License,2026-02-18 10:27:54.816+00,wmqgng8ap
1e1h4q9s4,Abajuuka,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
1e2uf5v64,Kusaka,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-19 13:48:43.834+00,7ldvwi8jh
1eqg6kby6,Abakondere,Mixed,team of men playing the royal trumpet in the king's palace.,Abasaija abateezi bamakondere.,N,ART,,Omukama obwa iguura empango amakondere gatandika.,When the king played the royal drum and the danced started.,Abakondere abo caali bajwaire kurungi.,Those royal trumpets are dressed honorably.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 12:08:02.296+00,z7cmq5grs
1esuli1en,Kwefoora foora,Mixed,Pretend,,N,GOV,,Omwebembezi murungi tayefoora ekyatali.,A good leader does not pretend to be what he/she is.,Omulemi mubi ayefoora-foora .,A bad leader keeps changing moods.,[],Unpredictable,,[],[],general,general,original_composition,,Project_License,2026-02-22 10:55:44.378+00,wmqgng8ap
1ewnrqa1i,Esuuka,Mixed,A wide shoulder clothe dressed by women at the back.,Orugoye rwokwegereka hamabega.,N,DLY,,Nyine enju amanyire kujwara kurungi esuuka.,The house wife knows how to cover her back with the wide clothe.,Muka musaija ayegerekere esuuka.,The man's wife has carried a shoulder clothe.,[],omwenagiro,,[],[],general,general,original_composition,,Project_License,2026-02-22 09:39:35.582+00,1lzzop9e4
1f4k5f3i7,Kubunga,Mixed,visiting,,V,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 08:43:57.304+00,1lzzop9e4
1ger0moav,"MUSINGI,",Mixed,,,N,SPR,,,,,,[],"YESU,",,[],[],general,general,original_composition,,Project_License,2026-02-23 09:44:01.345+00,ruom6sfi4
1jz646pw8,Ebikaka,Mixed,"Sugarcane ",ebikoijo,N,DLY,,Abaana bagonza muno kulya ebikaka.,Children loves chewing sugarcane .,"Uganda ebikaka kiririmwa kyamaani, nabalimi baingi basigikiire halibyo kwihamu entahya.","In Uganda sugarcane is a major cash crop, with many farmers relying  on it for income.",[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 19:38:29.148+00,7ldvwi8jh
1kue42v14,omukama,Mixed,king or ruler,mulemi,N,CUL,CUL-KIN,omukama ahangale,long live the king,omukama nalema abantube,The king is ruling his people,[],"obukama, omubiito",1,[],[],general,general,original_composition,,Project_License,2026-02-15 19:40:15.295+00,ruom6sfi4
1lk4pdmgx,Binkwatireki,Mixed,''Not concerned'',Tindukukwatwaho,V,NAR,NAR-FOL,Binkwatireki ebyoku? kabiri hara nanyowe.,"''What's it to me?'' its far from me.  ","Tindukufayo kasita biri hara nanyowe ","I don't mind moreover its far from me. ",[],"Tnfayo, byankwatiraki,",,[],[],general,general,original_composition,,Project_License,2026-02-17 21:57:01.026+00,7ldvwi8jh
1n06rjrrq,Ebimera,Mixed,Plants,,N,EDU,,Ebimera ebimu tubirya.,Some crops are used as food.,Ebisoro abimu birya ebinyansi.,Some animals eat crops.,[],"crops, vegetables, flowers, creepers ",,[],[],general,general,original_composition,,Project_License,2026-02-18 15:19:04.075+00,wmqgng8ap
1n2ff2hr3,Abaitira,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
1p3hpfcj9,kuzaana,Mixed,to play,kuharatwa,V,NAR,NAR-CHI,Abaana bagenda kuleeta amaizi balemerayo nibazaana omuzaire wabo yabahondera yabateera kubahana,"Children went to fetch water from the well, they stays there long playing, their parent followed and disciplined by beating them.   ",Abaanatibazaana betwekere ensoha yamaizi mutalikyongera,Children are not supposed to play while currying p.ot of water. never do it again,[],"bazaana,zaana, nazaana",15,[],"[""M-COND""]",general,general,original_composition,,Project_License,2026-02-17 19:56:15.595+00,7ldvwi8jh
1q4us5yyz,omwana,Rutooro,child,omwana,N,CUL,CUL-KIN,Omwana ali kurra,The child is crying,Mpe omwana,Give me the child,[],"omuto, abaana",1,"[""V-PASS""]","[""T-PRES""]",informal,general,original_composition,Standard dialect usage,Project_License,2026-02-18 13:55:17.175+00,ruom6sfi4
1q73lh1mz,Akiiki,Mixed,"Pet name ",Mpaako,N,,,Empaako ya  AKIIKI eba yekitinisa erukwa omwana anyakuhondera abarongo.,,"Akiiki Mpaako yabantu boona, eyogera eheebwa  Omucunguzi wabantu",AKIIKI is a pet name given to  all but also to the Redeemer,[],"Atenyi,",,[],[],general,general,original_composition,,Project_License,2026-02-18 13:18:02.965+00,ruom6sfi4
1raeiml9s,Kwera,Mixed,"Smiling and laughing of the  king  ",Okuseeka kw'omuka,V,,,Omusaija obwayebugire kurungi Omukama YAYERA.,When a man said his ryme properly the laughed,Omukama obwaroora Nyina AYEERA.,"When the king sees his mother laughs ",[],"Kusemererwa, Kumwegerra,",,[],[],general,general,original_composition,,Project_License,2026-02-18 03:10:03.989+00,ruom6sfi4
1smxxysk8,Ebibuga,Mixed,Urban areas,"Ekiikaro kirumu abantu nibakora, ebyombeko biingi, birungi nebyetaago ebirukukira obwingi birumu.",N,ENV,,Ekibuga kya'kampala lirumu abantu baingi abamahanga agataligamu.,Kampala city is densely populated with many different tribes.,Mu kibuga harumu amakoorro maingi kandi nigarugwaamu omuyika ogurukusisa abmwomeezi.,There are many factories in the city which bring out smoke that is harmful to our lives.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 16:16:23.934+00,z7cmq5grs
1t0jvs388,OMUKAMA TASIIMA,Mixed,The King does not say thank you.,Omukama tasiima habwokuba uwe nuwe agabira boona.,V,,,Obwohikya hali omukama tolinda akusiime baitu iwe niiwe omusiima.,"When you give a gift to the King never wait for a thank you, but you thank him instead.","Omukama nuwe akamira boona ,buli mutungwa aikara aina kunihira omukama okumuha obuguda.",Every one waits with hope from the King to raise him out poverty.,[],"Emirwa, Emigenzo,",,[],[],general,general,original_composition,,Project_License,2026-02-21 09:13:16.89+00,ruom6sfi4
1tvx1ygxq,Obugabe,Mixed,freedom,,N,DLY,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 13:43:07.963+00,1lzzop9e4
1vpjsmotg,Omusakazi atanag'enjura,Mixed,He who roofs the house perfectly well,omusakaazi omurungi kandi mwesigwa,ADJ,CUL,CUL-ROY,Nzaire omusakaazi atanag'enjura nikusaba omukazi.,"In your trust, i beg to be given a wife","Owaawe Nzaire, Owaawe Agutamba.",Feel at home the most  trusted,[],"Mwesgwa, Kamara byona",,[],[],general,adults,original_composition,,Project_License,2026-02-17 00:53:53.271+00,ruom6sfi4
1yyu7xvby,Murungi,Mixed,,,ADJ,SPR,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 08:01:46.211+00,ruom6sfi4
20hcf4m8z,Ebisasiro,Mixed,waste,Oburofu obusingoliirwe n'ebintu ebindi ebitarukwetaagwa hanyuma yokukozesibwa.,N,ENV,,Ebintu ebitarukujunda binagirwe hoona kandi tibikurabwaamu njura.,None organic materials are scattered everywhere and rain water can not penetrate them.,Kuta hanu ebisasiro ebirukujunda nebitarukujunda tikiri kirungi.,Disposing organic and non organic waste in one place is not good.,[],ekisasiro(dumping place),,[],[],general,general,original_composition,,Project_License,2026-02-22 18:49:11.178+00,z7cmq5grs
20qv2rbhz,KWEGARUKAMU,Mixed,,,V,SPR,,,,,,[],"Kuleka , Ebibi, Obuhyaka,",,[],[],general,general,original_composition,,Project_License,2026-02-23 14:06:54.96+00,ruom6sfi4
212ncoml7,Omusiisi,Mixed,,Omurarangya,V,NAR,NAR-CHI,,,,,[],m,,[],[],general,general,original_composition,,Project_License,2026-02-19 13:36:30.183+00,7ldvwi8jh
2507qeuck,OMUKYENO,Mixed,,,N,SPR,,,,,,[],"Emikyeno, Kukyenwa.",,[],[],general,general,original_composition,,Project_License,2026-02-24 04:37:23.596+00,ruom6sfi4
25f78awdm,Kujuna,Mixed,To rescue (saving someone from danger),Kujuna omuntu kumwiha mukabi.,V,DLY,,Abazimya murro bajunire omwana nibamwiha munju.,Fire force helped to rescue the child.,Juna ogu atadikira mu maizi.,Rescue her from downig in water.,[]," kunagisa nojunira,kujunira.(to protect the person)",,[],[],general,general,original_composition,,Project_License,2026-02-21 13:21:21.399+00,1lzzop9e4
25pi25hou,Ekinaga,Mixed,cooking pot made from clay.,Ekinaga kyibumba ekyomukubi.,V,DLY,,Ebyokulya bicumbiwre mukinaga nibiboya kurungi.,The pot gives the food anature flavor.,Linda kurungi ekinaga otakyata.,"Handle that pot with care,so that it may not be broken.",[],"Omunaga,(abig pot made from the pot)",,[],[],general,general,original_composition,,Project_License,2026-02-21 12:27:36.801+00,1lzzop9e4
26b6gqzs9,Amahiga,Mixed,Stove,Ebyokulya bicumbirw`ahamahiga.,N,DLY,,Kozesa amahiga okucumba.,use the stove to cook.,cumbira ha sigiri,cook using the stove,[],sigiri,,[],[],general,general,original_composition,,Project_License,2026-02-16 09:32:38.762+00,xv6uqkb9l
276tgwpac,kweyandura,Mixed,monotonous,kweyanda,V,NAR,NAR-PER,omusaija irakakye  kweyanduura  alekere isomo lyangumaaza.,The man's monotone voice made the lesson drag.,omukazi emirubatireye kweyanduura araatahadi.,"The way a woman walks, monotone when will her reach home?",[],"kusoobasoba,kwetwara, kugodya",,"[""V-PASS""]",[],general,general,original_composition,,Project_License,2026-02-17 20:56:22.928+00,7ldvwi8jh
27df07fs4,emibazi,Mixed,antibiotics,,N,AGR,,Emibazi ekozesibwa kujanjaba ebisoro.,Antibiotics are used to treat animals.,Emibazi ita obuhuka.,Antibiotics kill bacteria.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-22 13:38:15.455+00,wmqgng8ap
2870xymrf,Abazira,Rutooro,,,N,,,,,,,[],,,[],[],general,general,original_composition,,Project_License,2026-02-18 14:00:32.505+00,ruom6sfi4
2886wnk2r,"Eduuru,",Mixed,"Alarm ",Kurarangya amakuru mabi.,V,,,Okutuuza kw'Omukama kurangwa kateera enduuru.,Official announcement of the death of the King is done by sounding alarm.,"Kateera ENDUURU atemba  ha  Rusu rwa Karuziika ararangya enduuru nagamba ati "" Ekyaro kyaburwa abakama; Omukama atulize"" Airuka,abantu abali haihi bamuhambya kwimwita.","when the King dies, there is a volunteer who climbs up on top of Karuziika and makes an alarm saying "" The kingdom has no king he has died"" People will run after him to kill him.",[],"AKABI,",,[],[],general,general,original_composition,,Project_License,2026-02-20 16:04:42.216+00,ruom6sfi4
28cx1hdws,Kurolera,Rutooro,Care,,V,AGR,AGR-CRP,Kurolerra ebisoro nakwo bakwega.,Care for animals is taught and learnt.,Ebisoro byomumaka nibisemera kworolerwa kurungi.,Domestic animals should be cared for.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 16:00:50.547+00,wmqgng8ap
297u4nvcb,Ensiika,Mixed,Rooms in the official house [Karuziika] of the King.,Ebisiika ebiri Mukaruziika,N,,,The room for the prevy  council is larger than others.,Ensiika eya Banana nkooto kukira ezindi.,Omukama asingire OMUNSIIKA Rwebisuba.,The king is sitting in the room where he talks with whistle blowers.,[],"Ebisiika, ",,[],[],general,general,original_composition,,Project_License,2026-02-17 17:27:05.514+00,ruom6sfi4
2abja6tcb,Abatooro,Mixed,People of Tooro,Emwenda,N,NAR,NAR-HIS,Abantu batooro baine kusemererwa hamukoro.,The Batooro people have joy in celebration.,Abantu batooro baine emigenzo nemitwalize habwabaliija omumaiso.,Tooro people have traditional  culture for  future generation.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-23 09:05:06.016+00,7ldvwi8jh
2b5bf1wi7,Embaliira,Mixed,Budgeting,,N,AGR,AGR-CRP,Embalira esemerire kukorwa otakatandikire kulima nokuliisa.,"Before farming ,proper budgeting should be made.",Kubalirra kirungi kikonyera emikorre.,Budgeting is important.It helps in in implementation.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-21 19:01:54.85+00,wmqgng8ap
2bbow11wi,Kuteera empaka,Mixed,debating,,V,EDU,,Omunkurato obundi baterramu empaka.,Debating is healthy in meetings.,Kutera empaka obundi kuleta kwetegereza.,Debating sometimes brings understanding.,[],,,[],[],general,general,original_composition,,Project_License,2026-02-19 14:27:31.895+00,wmqgng8ap
2bw7vcfnw,Kutongeera,Mixed,Solisting asong leading asong of verses & choir,Kwebembera ekizina notamu ebigambo abandi mbazina ekigarukwaamu,V,ART,,Tongeerra kurungi ekizina nukwo ekigarukwamu kije kyamaani,"Sing the solo part strongly to make the choir strong ",Omutongerezi asemeriire kugira iraka lirungi,The Solovzi should have a good voice,[],Kutwenge keera (Kuzina enkaarra abandi bakagarukama'' solo sting ),,[],[],general,general,original_composition,,Project_License,2026-02-22 13:59:49.061+00,z7cmq5grs
2c3wja7h6,Esaabwe,Mixed,Traditional source,Smoked meat.,N,CUL,CUL-FOO,"Esabwe mukubi gwekitinisa mutooro kandi nugwo gwebezi hakihuro kyemigenzo, nka hakweranga, kuruka ibara,nemigenzo endi.","This traditional source in Tooro is respectable and used always on ritual ceremonies like, introduction, Empaako Naming and other rituals.  ","Esabwe ebamu tutekamu, omukaro,obutuzi, obutunguru, enyanya, ekisura, namagita gente. ","This traditional source we put, smoked meat, mushrooms, onions, tomatoes, salt and cow ghee.",[],Omukubi gwesabwe,,[],[],general,general,original_composition,,Project_License,2026-02-21 13:52:17.778+00,7ldvwi8jh
2c4wghll8,Nsobora,Mixed,Can,Hasoboka,N,NAR,NAR-CHI,Ninsobora kuvuga matoka,''I can drive a car'',Ninsobora kusoma ekitabu.,''I can read a book.'',[],,,[],[],general,general,original_composition,,Project_License,2026-02-24 09:07:32.331+00,7ldvwi8jh
