English,Nyoro
"Suddenly an angel of the Lord stood there, and a light shone in the cell. The angel shook Peter by the shoulder, woke him up, and said, “Hurry! Get up!” At once the chains fell off Peter's hands. ","Kandi dora, maraika wa Mukama yayeme'ra namberali, nomusana gwajwa omu kisika: kandi yatera Petero omu mbaju, yamusisimura nagamba ati Imuka bwango. Enjegereze zaragara okuruga ha mikonoye. "
"She was soon to give birth, and the pains and suffering of childbirth made her cry out.","kandi ayinenda, na'ra, narumwa, kandi nahururwa okuzara. "
"As Jesus went along, the people were crowding him from every side. ","baitu akaba ayina omuisiki omu wenka, akaba ahikize emyaka ikumi nebiri, kandi ogu akaba amalize okufa. Baitu obwakaba nagenda ebitebe bikamufunza. "
"Do not complain against one another, my friends, so that God will not judge you. The Judge is near, ready to appear. ","Mutahyemrangana bene baitu, inywenka nainywenka, muleke okucwerwa omusango; dora omucwi wemisango ayemerire ha nyigi. "
"Through him you believe in God, who raised him from death and gave him glory; and so your faith and hope are fixed on God.","abali omu kuikiriza Ruhanga habwe, ayamuhumbuire omu bafu kandi yamuha ekitinisa; nukwo okuikiriza nokunihira kwanyu biikalege omu Ruhanga. "
We have not depended on made-up stories in making known to you the mighty coming of our Lord Jesus Christ. With our own eyes we saw his greatness. ,"Baitu itwe tutakuratire enganikyo ezacwerirwe amagezi,obutwabamanyisize obusobozi nokuija kwa Mukama waitu, baitu tukaba tuli bakaiso abarozire ekitnisa ekyobukurubwe. "
"Considering the present distress, I think it is better for a man to stay as he is. ","Nukwo ndukutekereza nti obwobujune obuyakuloho hati bunu, kirungi omuntu okuikaraho nkokwali: "
They were about twelve men in all.,Kandi abantu bona bakaba bali nka ikumi nababiri.
"but do it with gentleness and respect. Keep your conscience clear, so that when you are insulted, those who speak evil of your good conduct as followers of Christ will become ashamed of what they say. ",nukwo obwebi ebibabagambaho okubibo bakwatwe ensoni abarukujuma engeso zanyu enungi ezomu Kristo. 
"There will be those who will say to you, ‘Look, over there!’ or, ‘Look, over here!’ But don't go out looking for it. ",Kandi balibagambira ngu Dora hali! Dora hanu! Mutalirugaho nobukwakuba okubahondera: 
"While they all watched, the man got up, picked up his mat, and hurried away. They were all completely amazed and praised God, saying, “We have never seen anything like this!”","yaimuka, yayetweka bwango ekitabu, yaturuka omu maiso gabu bona; kandi bahuni’ra bona, bakugiza Ruhanga, Nibagamaba ngu Titukabonaga tuti."
"sold a field he owned, brought the money, and turned it over to the apostles.","obwakaba ayina omusiri yagugura, yaleta erupiya, yazita ha bigere byabakwenda."
" And because he is himself weak, he must offer sacrifices not only for the sins of the people but also for his own sins. ","kandi nikyo kimuhikirire, habwabantu na habwe wenka, okuhongaga obwebibi. "
"Jesus also told them this parable: “You don't tear a piece off a new coat to patch up an old coat. If you do, you will have torn the new coat, and the piece of new cloth will not match the old. ","Kandi akabacera orufumo; busaho muntu acwaho akakoba ha kyokujwara ekikuzire; kakuba agira ati akutemuire ekihyaka, nekicweka kyekihyaka tikikuteraine ahamu nekinyakukuzire. "
"The one who plants and the one who waters really do not matter. It is God who matters, because he makes the plant grow. ","Nukwo anyakubyara talikintu, nobwakuba anyakuiti’ra amaizi, baitu Ruhanga anyakwanisa. "
If you ask me,"Obumurasanaga ekigambo omu ibara lyange, ekindikikora. "
"Yes, may you come to know his love—although it can never be fully known—and so be completely filled with the very nature of God.",nokumanya okugonza kwa Kristo okutarukumanywa. Nukwo muijule okuijura kwona okwa Ruhanga.
"For if the dead are not raised, neither has Christ been raised. ","Baitu abafu baraba batahumburwa, na Kristo atahumburwe: "
"and he said to them, “The sorrow in my heart is so great that it almost crushes me. Stay here and keep watch with me.”","Nubwo yabagambire ati Omutima gwange gunyina obujune obwingi, bwaija kunyita; muikalege hanu, murole nanyowe. "
"Zechariah asked for a writing pad and wrote, “His name is John.” How surprised they all were! ","Yasaba ibale, yahandika ati Ibaralye Yohana. "
This very day in David's town your Savior was born—Christ the Lord! ,"baitu hati hazairwe habwanyu ha rubuga rwa Daudi Omujuni, nuwe Kristo Mukama waitu. "
"What I am telling you in the dark you must repeat in broad daylight, and what you have heard in private you must announce from the housetops. ","Ekimbagambira omu muirima, nikyo muligamba omu musana: ekimuhu’ra omu kutu, nikyo muliduma ha nju eruguru. "
"For the sake of this gospel I am an ambassador, though now I am in prison. Pray that I may be bold in speaking about the gospel as I should.","Eyimba omukwenda wayo omu nsego: mujkwo mbaze nobumanzi omuyo, nkokukimpikirire okugamba, "
"For when they were rejected, all other people were changed from God's enemies into his friends. What will it be, then, when they are accepted? It will be life for the dead!","Baitu okubingwa kwabu kuraba kwafokere okuteranizibwa kwensi, okuirizibwa kwabu kuliba ki? Tinubwo bwomezi okuruga omu bafu? "
And many people there believed in him.,Baingi bamuikiriza oku.
"And when you serve Christ in this way, you please God and are approved by others.","Baitu anyakuko’ra Kristo buli asemire hali Ruhanga, kandi omu kigambo kinu asimirwe abantu. "
"I, your Lord and Teacher, have just washed your feet. You, then, should wash one another's feet. ","Nukwo, obundaba nyowe Mukama wanyu, kandi Omwegesa, mbanabisize ebigere, kandi nainywe kibahikirire okunabisangana ebigere. "
He placed his hands on them and then went away.,"Yabataho emikonoye, yarugayo."
Those who obey their human nature cannot please God.,kandi abali omu mubiri tibarukusobora okusemeza Ruhanga. 
"and said to him, ‘Leave your family and country and go to the land that I will show you.’ ","yamugambira ati Ruhanga omu nsi yowanyu nomu bene banyu, oije omu nsi eyindikwoleka. "
"Jesus looked straight at them and answered, “This is impossible for human beings but not for God; everything is possible for God.”","Kandi Yesu yabarora nabagambira ati Hali abantu tikisoboka, baitu tikirikyo hali Ruhanga: baitu byona bisoboka hali Ruhanga."
"The light shines in the darkness, and the darkness has never put it out.",Omusana gukajwa omu muirima; kandi omurima gutaguikirize 
"So the disciples started asking among themselves, “Could somebody have brought him food?”",Nukwo abegeswa babaza bonka ngu Haroho omuntu amuletire ekyokulya. 
" but in these last days he has spoken to us through his Son. He is the one through whom God created the universe, the one whom God has chosen to possess all things at the end. ","omu biro binu ebyahanyuma atugambire itwe omu Mwanawe, ouyataireho okuba omugwetwa wa byona, kandi ouyahangisize ebintu byona; "
"Then Peter spoke up. “Lord, if it is really you, order me to come out on the water to you.”","Petero yamugarukamu nagamba ati Mukama wange, obworaba oli iwe, ngambira nyije namberoli ha maizi. "
 It was by their faith that people of ancient times won God's approval.,Baitu omuli oku abakuru bakamanyisibwamu. 
The man on whom this miracle of healing had been performed was over forty years old.,Baitu omuntu ayaakolirwe ekyamahano eki ekyokukizibwa akaba ahinguraine emyaka amakumi ana.
"“Or suppose a woman who has ten silver coins loses one of them—what does she do? She lights a lamp, sweeps her house, and looks carefully everywhere until she finds it. ","Rundi mukazi ki anyakuina erupiya ikumi, atabakiriza etabaza, nasingo’ra omu nju, nayekamba okuse’ra okuhikya obwaligizora. "
"Greetings also to Andronicus and Junia,","Muramukye Aduroniko na Yuniya abomu ruganda rwange, kandi ababoherwe hamu nanyowe, abatukirire omuli abakwenda, kandi abakaba bali omu Kristo okubanza nyowe. "
So have nothing at all to do with such people. ,Nukwo mutaliterana nabo: 
"Think about what I am saying, because the Lord will enable you to understand it all.",Tekereza ekidukugambaho. Baitu Mukama waitu arakuha okwetegereza omu bigambo byona. 
" All the islands disappeared, all the mountains vanished. ","Namazinga gona gairuka, nensozi zitazoke. "
"After this, Jesus appeared once more to his disciples at Lake Tiberias. This is how it happened. ",HANYUMA yebi Yesu yagruka okweyoleka omu begeswabe ha nyanja eya Tiberiya;nukwo yayeyolekere ati. 
"So those who believe in the Son of God have this testimony in their own heart; but those who do not believe God, have made a liar of him, because they have not believed what God has said about his Son. ","Anyakuikiriza omwana wa Ruhanga ayina okumanyisa oku omuluwe: atarukuikiriza Ruhanga buli amufoire omubihi webisuba, baitu ataikirize Ruhanga ebiyamanyisize Ebyomwanawe. "
and now they know that everything you gave me comes from you. ,Hati bunu bamanyire ngu byona byona ebiwanyire biruga haliwe: 
"A large crowd of sick people were lying on the porches—the blind, the lame, and the paralyzed.","Omwobu nuho habyamamuga ekitebe kyabarwaire, abafu bamaiso, abaramaire, abazingamire [nibategereza amaizi okubimba: "
"But you must keep control of yourself in all circumstances; endure suffering, do the work of a preacher of the Good News, and perform your whole duty as a servant of God.","baitu Iwe tami’ruka omu byona, gumisiriza obujune, kora omulimo gwomugambizi wenjiri, hikiriza okuhereza kwawe. "
Once there were seven brothers; the oldest got married and died without having children. ,"Nukwo, hakaba haloho abaisemu musanju: owokubanza akaswera omukazi: yafa atazaire bana; nowakabiri; "
"If we say we love God, but hate others, we are liars. For we cannot love God, whom we have not seen, if we do not love others, whom we have seen. ","Omuntu obwagamba ati Ningonza, Ruhanga kandi nanoba mugenziwe nuwe mubihi: baitu ogu atarukugonza mugenziwe ouyaboine, tasobora kugonza Ruhanga owataraboine. "
"What a record all of these have won by their faith! Yet they did not receive what God had promised, ","Kandi nabo bona obubamanyisibwe obwokuikiriza kwabu batahabwe ekyaraganizibwe, "
"Since he himself is weak in many ways, he is able to be gentle with those who are ignorant and make mistakes. ","nasobora okugira mpora abatamanyirwe nabanyakuhabire, baitu nauwe wenka nayehingulirizibwa obugara; "
"but for those whom God has called, both Jews and Gentiles, this message is Christ, who is the power of God and the wisdom of God. ","Baitu hali abo abanyakwetwa, rundi Abayudaya, rundi Abayonani, Kristo amani ga Ruhanga, kandi amagezi ga Ruhanga. "
"The Lord turned around and looked straight at Peter, and Peter remembered that the Lord had said to him, “Before the rooster crows tonight, you will say three times that you do not know me.” ","Mukama waitu yahinduka yarora Petero. Kandi Petero yaijuka akigambo kya Mukama waitu okwamugambirege ati Hati enkoko etakokere, oranyahakana emirundi esatu. "
The greatest love you can have for your friends is to give your life for them. ,"Busaho anyakuina okugonza kwingi okurukukira kunu, omuntu okuhayo obwomezibwe habwenganjanize. "
" By faith he lived as a foreigner in the country that God had promised him. He lived in tents, as did Isaac and Jacob, who received the same promise from God. ","Obwokuikiriza akagonya omu nsi eyiyaraganizibwe, nketali ye wenka, narara omu hema,na Isaka, na Yakobo,abagwetea hamu nauwe abomurago ogumu: "
"Then Jesus began to teach his disciples: “The Son of Man must suffer much and be rejected by the elders, the chief priests, and the teachers of the Law. He will be put to death, but three days later he will rise to life.” ","yabanza okubegesa ngu kihikirire Omwana womuntu okusalizibwa bingi, nokuhakanwa abakuru, nabahandiki, nokuitwa, kandi nokuhumbuka ebiro bisatu bihinguireho. "
"It was he who “gave gifts to people”; he appointed some to be apostles, others to be prophets, others to be evangelists, others to be pastors and teachers. ","Kandi nuwe yahaire abandi okuba abekwenda, nabandi banabi, nabandi abagambizi benjiri; nabandi abalisa nabegesa: "
"So Pilate went outside to them and asked, “What do you accuse this man of?”","Kandi Pirato yaturuka nagenda namberebali, yagamba ati Musango ki ogumurukumulega omuntu onu? "
“After a long time the master of those servants came back and settled accounts with them. ,"Kandi ebiro bingi obubyahinguireho, omukama wa bairu abo rubale yaija, nabara nabo omuhendo, "
The time will come when some men from your own group will tell lies to lead the believers away after them. ,"kandi omulinywe inywenka halirugamu abantu, nibagamba ebigambo ebyokuhaba, okucunda abegeswa enyuma yabu. "
And this is what Christ himself promised to give us—eternal life.,Kandi gunu nugwo murago ogwayaturaganize obwomezi obwebiro nebiro. 
"Perhaps you think that all along we have been trying to defend ourselves before you. No! We speak as Christ would have us speak in the presence of God, and everything we do, dear friends, is done to help you. ","Na hati hona mutekerize ngu ntwetonganira halinywe. Omu maiso ga Ruhanga omu Kristo nuho turukugamba. Baitu byona, abarukugonzebwa, byokubombeka inywe. "
"I write to you, fathers, because you know him who has existed from the beginning. I write to you, young people, because you have defeated the Evil One.","Nimbahandikira inywe abaisebo, baitu mumanyire ogu ayabaireho okuruga karanakara. Nimbahandikira inywe abaisebo, baitu mumanyire ogu ayabaireho okuruga karanakara. Nimbahandikira inywe abasigazi, baitu musinguire omubi. Nkabahandikira inywe abana abato, baitu mumanyire Isitwe. "
but he was told of their plan. Day and night they watched the city gates in order to kill him. ,baitu amagezi gabu gamanywa Saulo. Kandi bakarole'ra ha nyigi nyamusana nekiro okumuita: 
"As for us, we proclaim the crucified Christ, a message that is offensive to the Jews and nonsense to the Gentiles; ","Baitu itwe ntutebeza Kristo ayabambirwe hamuti, hali Abayudaya enkonge, kandi hali Abamahanga butami: "
"So they left the crowd; the disciples got into the boat in which Jesus was already sitting, and they took him with them. Other boats were there too. ","Obubasigire ekitebe, bamutwara omu bwato, Kandi nobwato obundi bukaba buli nauwe. "
"These spies said to Jesus, “Teacher, we know that what you say and teach is right. We know that you pay no attention to anyone's status, but teach the truth about God's will for people. ","Kandi bakamukaguza ngu Omwegesa, tumanyire iwe ogamba kandi oyegesa kurungi, okutasorara omu bantu, baitu mananukwo oyegesa omuhanda ogwa Ruhanga: "
"Of course, my friends, I really do not","Bene baitu, tindukwetekereza nyenka nti ‘mazire okukwata: baitu kimu kyonka ninyebwa ebi ebiri enyuma, ninkunuki’ra ebi ebiri omu maiso, "
But what if our doing wrong serves to show up more clearly God's doing right? Can we say that God does wrong when he punishes us? (This would be the natural question to ask.) ,Baitu okutahiki’ra kwaitu kuraba nukunyumizisa okuhiki’ra kwa Ruhanga turagamba tuta? Ruhanga tanyina kuhiki’ra obwaleta ekiniga? (Ngambire nkomuntu kwonka.) 
"Do not use harmful words, but only helpful words, the kind that build up and provide what is needed, so that what you say will do good to those who hear you. ","Ekigambo kyona ekitasemire kitaliruga omu kanwa kanyu, rundi ekirungi kyona ekirabahoga obwokwombeka nkomutu okwataga, kiretere kiti embabazi abanyakuhu’ra. "
"The teachers of the Law and the Pharisees began to say to themselves, “Who is this man who speaks such blasphemy! God is the only one who can forgive sins!”","Noha asobora okuihaho ebibi, rundi Ruhanga wenka?"
The ten young women woke up and trimmed their lamps. ,"Abaisiki boona nubwo baimukire, basemeza "
and he will be my Son.”,Nauwe araikaraga Mwana wange?
"Our friends, we know that God loves you and has chosen you to be his own. ","tumanyire, bene baitu, abarukugonzebwa Ruhanga, okukomwamu kwanyu, "
"After his brothers had gone to the festival, Jesus also went; however, he did not go openly, but secretly. ","Baitu benebabu obubamazire okutemba ha bugenyi, nauwe yatemba, kandi atagende bwerebwere, rundi nkomusita. "
"But if we hate others, we are in the darkness; we walk in it and do not know where we are going, because the darkness has made us blind.","Baitu anyakunoba mugenziwe ali omu muirima, kandi nagendera omu muirima, kandi tamanyire harukugenda, baitu omuirima gukamuita amaiso."
"You provided no olive oil for my head, but she has covered my feet with perfume. ",Tonsesire magita ha mutwe gwange: baitu ogu ansigire ebigere byange namagita aobwotere. 
"See that no one pays back wrong for wrong, but at all times make it your aim to do good to one another and to all people.","Murole omuntu wena aleke okuhora ekibi obwekibi; baitu ebiro byona mukuratirege ekirungi inywenka nainywenka, na hali bona. "
"Some of the provincial authorities, who were his friends, also sent him a message begging him not to show himself in the theater. ","Kandi abamu hali abanyakihanda abakuru aba Asiya, abakaba bali enganjanize, bamutumira nibamwesengereza okutaguma okutaha omu teatero. "
" But this is what I have against you: you tolerate that woman Jezebel, who calls herself a messenger of God. By her teaching she misleads my servants into practicing sexual immorality and eating food that has been offered to idols. ","Baitu nyina kinu haliwe ngu noikiriza omukazi ogu Yeseberi, ayeyeta nabi; kandi nayegesa nabihabiha abairu bange okusisiana, nokulya ebihongirwe ebisisani. "
"But it does not sink deep into them, and they don't last long. So when trouble or persecution comes because of the message, they give up at once. ","kandi tibanyina mihama omulibo, baitu baikaraho akacu kake; kandi obujune, rundi okuhigwa, obubibaho habwekigambo ahonaho batabaijuka. "
"That is why I am sending him to you, in order to cheer you up by telling you how all of us are getting along. ","ounatumire namberemuli obwekigambo kinu mali, mumanye ebigambo byange, kandi ahumuze emitima yanyu; "
"So they answered, “We don't know where it came from.”",Nukwo bagarukamu ngu batamanye nambere kwarugire. 
"Let us praise God for his glorious grace, for the free gift he gave us in his dear Son! ","nkokuyagondeze nasima ati, ekitinisa kyembabazize kikkugizibwe, eziyatuherire busa omwogu arukugonzebwa: "
" But those who should be in the Kingdom will be thrown out into the darkness, where they will cry and gnash their teeth.” ",baitu abana abobukama balibingirwa omu muirima ogwaheru:halibayo oku’ra nokunena ensaya. 
"Peter answered, “Lord, I am ready to go to prison with you and to die with you!”",Yamugambira ati Mukama wange ahami naiwe nyetekanize okugenda omu nju yenkomo nomu kufa. 
For this reason I tell you: people can be forgiven any sin and any evil thing they say;,Nikyo mbagambi’ra nti Abantu baliganyirwa ekibi kyona nekyokujuma kyona; baitu anyakujuma Omwoyo Ogurukwera taliganyirwa. 
"Then I saw another angel come out of the temple in heaven, and he also had a sharp sickle.","Na maraika ondi yaruga omu yekaru eyomu iguru, nauwe ayina akageso kobwogi. "
"and when they heard her say that Jesus was alive and that she had seen him, they did not believe her.","Kandi abo obubahulire ngu ayomire, kandi arozirwe ogu, bataikirize."
when they rebelled against God.”,Mutagumya emitima yanyu nkomu biro ebyokubihizibwa.
But they did not understand his answer.,Kandi batamanye kigambo ekiyabagambire. 
"When they heard this, they all left, one by one, the older ones first. Jesus was left alone, with the woman still standing there. ","Nabo obubahulire basomoke’ra omuomu, abakuru nibbanza, okuhika ha bampero: Yesu yasigaraho wenka, nomukazi ali hagati. "
"Then Jesus looked up to heaven, gave a deep groan, and said to the man, ","yarora haiguru omu iguru, yasinda, yamugambira ati Efasa, nukwo kugamba ngu Iguka. "
" Instead, we should write a letter telling them not to eat any food that is ritually unclean because it has been offered to idols; to keep themselves from sexual immorality; and not to eat any animal that has been strangled, or any blood. ","baitu tubahandikire balekereyo kimu ebinugwa ebyebisisani, nobusihani, nebinigirwe, nesagama. "
"While working with the Jews, I live like a Jew in order to win them; and even though I myself am not subject to the Law of Moses, I live as though I were when working with those who are, in order to win them. ","Kandi hali Abayudaya nkaba ndi Nkomuyudaya, ntunge Abayudaya: hali abarukulemwa ebiragiro, nkaba ndi nkanyakulemwa ebiragiro, nyowe nobuntarukulemwa ebiragiro, nukwo ntunge abali omu biragiro: "
"Some Pharisees asked, “Why are you doing what our Law says you cannot do on the Sabbath?”",Baitu abamu hali Abafalisayo bagamba ngu Kiki ekirukubakoza ekitali kyebiragiro okukora ha kiro kya Sabiti? 
"But they would not say a thing. Jesus took the man, healed him, and sent him away. ",Baitu bakaculera kwonka. Yamukwata yamukiza yamwohereza. 
"Jesus heard them and answered, “People who are well do not need a doctor, but only those who are sick. ","Kandi obuyahulire yabagambira ati Abomire tibataga mufumu, rundi abarwaire. "
No spring of water pours out sweet water and bitter water from the same opening. ,Ensoro emu negera amaizi amarungi nagarukusa'ra omu liso limu? 
" As the scripture says, “You have found out for yourselves how kind the Lord is.”",obumuraba mwerolezeho ha Mukama waitu okwali wembabazi: 
"praising God, and enjoying the good will of all the people. And every day the Lord added to their group those who were being saved.",Kandi Mukama yabongerahoga obukyabukya abakaba nibajunwa.
"In planning this, did I appear fickle? When I make my plans, do I make them from selfish motives, ready to say “Yes, yes” and “No, no” at the same time? ","Nukwo, obunatekerize nti, nkaragaraganiza? Rundi ebimpanuire, nimbihanura ninkuratira omubiri? Nyowe okuba nabyo nti ego, ego, rundi nangwa, nangwa? "
"Father! Give me glory in your presence now, the same glory I had with you before the world was made.","Ai Isenyowe, na hati bunu ‘nyumiza nyowe hamu naiwe, omukitinisa eki ekinkabanyinanakyo hamu naiwe ensi etakabaireho. "
He said this and then stayed on in Galilee.,"Obuyamazire kubagambira ebi, yasigara Galiraya."
Who will harm you if you are eager to do what is good? ,Kandi noha alibakora kubi obumwekambira ebirungi? 
"The time came for Elizabeth to have her baby, and she gave birth to a son. ",Kandi ebiro bya Erisabesi ebyokuzara byahika; yazara omwana omwojo. 
So Herod called the visitors from the East to a secret meeting and found out from them the exact time the star had appeared. ,"Nubwo Herede yayeta abafumu omunsita, yabakaguza muno ebiro enyunyuzi ebiyabonekiremu. "
"If any of you have a dispute with another Christian, how dare you go before heathen judges instead of letting God's people settle the matter? ","OMUNTU wena obwaba anyina ekigambo hali ondi, tatina okutongana hali abatali bokuhiki’ra, kunu tatongana hali abahikirire? "
"and ask the God of our Lord Jesus Christ, the glorious Father, to give you the Spirit, who will make you wise and reveal God to you, so that you will know him. ","Ruhanga wa Mukama waitu Yesu Kristo, Isitwe owekitinisa, abahe omwoyo ogwamagezi nogwokusuku’rwa omu kumanya uwe: "
"And you too, my faithful partner, I want you to help these women; for they have worked hard with me to spread the gospel, together with Clement and all my other fellow workers, whose names are in God's book of the living.","Ego, ninyesengereza naiwe omuiru mutahi wange mali mali, okukonyera abakazi abo, baitu bakakora emirirmo hamu nanyowe omu njiri, kandi na Kerementi nabandi abakozi batahi benge, amabara gabu gali omu kitabu kyobwomezi."
"The chief priests and the teachers of the Law were afraid of the people, and so they were trying to find a way of putting Jesus to death secretly.","Banyakatagara abakuru nabahandiki bakaba nibase’ra okubaramuita, baitu bakatina abantu. "
"As he scattered the seed in the field, some of it fell along the path, and the birds came and ate it up. ","kandi kyahika, obwakaba nasiga, embibo emu yagwa ha muhanda rubaju, enyonyi zaija zagisomu. "
If you think you are standing firm you had better be careful that you do not fall. ,"Nukwo anyakutekereza ayemertire, ayerinde atagwa. "
"But if anyone wants to argue about it, all I have to say is that neither we nor the churches of God have any other custom in worship.","Baitu omuntu wena araba nasisana okuleta empaka, itwe titunyina engeso erukusisa eti, nobuzakuba ekanisa za Ruhanga. "
"When they were all full, he said to his disciples, “Gather the pieces left over; let us not waste a bit.” ","Obubaigusire yagambira abegeswabe ati Musoroze oburagilika obusigaireho, haleke okubura ekintu. "
"Let us conduct ourselves properly, as people who live in the light of day—no orgies or drunkenness, no immorality or indecency, no fighting or jealousy. ","Tugendege omu byembabazi nkabanyakugenda nyamusana; hatali omu kubandwa nobugenyi obwokutamira, hatali omu busihani nebyensoni, hatali omu kukungana nihali. "
